"GeneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbol","Description","GeneType","EnsemblGeneID"
"1000",104.655360639694,2.38271106636331,0.387072855457222,6.15571728363329,7.47384476167426e-10,3.00209208660847e-08,"CDH2","cadherin 2","protein-coding","ENSG00000170558"
"10003",103.665217222477,-2.42411922436603,0.269039094602064,-9.01028613685883,2.05519559875532e-19,5.05637401782234e-17,"NAALAD2","N-acetylated alpha-linked acidic dipeptidase 2","protein-coding","ENSG00000077616"
"1001",2788.95488318268,2.36156737905723,0.69323924670281,3.40656907451408,0.000657849018643236,0.00494633642081237,"CDH3","cadherin 3","protein-coding","ENSG00000062038"
"100124700",99.0477130647905,3.36964780023613,0.708265377669037,4.7576062680431,1.9590213181555e-06,3.51511069198071e-05,"HOTAIR","HOX transcript antisense RNA","ncRNA","ENSG00000228630"
"100128098",114.900586562235,4.13299577312387,0.583298107296836,7.08556349047198,1.38479662716822e-12,9.76109953150225e-11,"ST8SIA6-AS1","ST8SIA6 antisense RNA 1","ncRNA","ENSG00000204832"
"100128338",459.104381317457,2.861573482038,0.584438360957222,4.8962793567335,9.76681965102981e-07,1.88606501442189e-05,"FAM83H-AS1","replaced by ID 642574","",""
"100128537",192.372848467038,-2.11575748844224,0.53284218270952,-3.97070193970669,7.16611860841365e-05,0.000790002054431193,"MIR29B2CHG","MIR29B2 and MIR29C host gene","ncRNA",""
"100128675",51.253644219555,2.02157058992264,0.514285254108889,3.93083521989261,8.46512764301148e-05,0.000905885491433437,"HPN-AS1","HPN antisense RNA 1","ncRNA","ENSG00000227392"
"100129434",66.2558041313897,-2.55319516182418,0.522928582925663,-4.8824930309597,1.04752942654765e-06,2.00923054250934e-05,"LOC100129434","uncharacterized LOC100129434","ncRNA","ENSG00000233251"
"100129543",56.3963024764311,2.32801502672224,0.556076539847627,4.18650106577082,2.83287603887912e-05,0.00035375695074085,"ZNF730","zinc finger protein 730","protein-coding","ENSG00000183850"
"100129583",65.3923552122266,-2.42678067930911,0.472970846812029,-5.13093078710109,2.88312917163114e-07,6.56322296392581e-06,"FAM47E","family with sequence similarity 47 member E","protein-coding","ENSG00000189157"
