"Gene","Drug","Drug_Concept_ID","Interaction_Score","Interaction_Type","Directionality","Sources","PubMed_IDs","Program"
"LEP","METRELEPTIN","rxcui:1491625",0.441099912444023,NA,NA,"PharmGKB",NA,"Metabolic"
"LEP","CARVEDILOL","rxcui:20352",0.183791630185009,NA,NA,"NCI","14966787","Metabolic"
"LEP","RISPERIDONE","rxcui:35636",0.0668333200672762,NA,NA,"NCI","12755665","Metabolic"
"LEP","LAMIVUDINE","rxcui:68244",0.183791630185009,NA,NA,"NCI","16091072","Metabolic"
"LEP","FOLIC ACID","rxcui:4511",0.191782570627836,NA,NA,"NCI","11514359","Metabolic"
"LEP","CYCLOSPORINE","rxcui:3008",0.0507011393613819,NA,NA,"PharmGKB","26282401","Metabolic"
"LEP","TROGLITAZONE","rxcui:72610",0.183791630185009,NA,NA,"NCI","10753628","Metabolic"
"LEP","GEMFIBROZIL","rxcui:4719",0.601499880605486,NA,NA,"NCI","10083765; 15114521","Metabolic"
"LEP","CLOZAPINE","rxcui:2626",0.047945642656959,NA,NA,"NCI","12755665","Metabolic"
"LEP","ANTICOAGULANT AGENT","ncit:C263",1.47033304148008,NA,NA,"NCI","11052823","Metabolic"
"LEP","METHIMAZOLE","rxcui:6835",0.210047577354296,NA,NA,"NCI","10495413","Metabolic"
"LEP","MIRTAZAPINE","rxcui:15996",0.275687445277514,NA,NA,"NCI","12518269","Metabolic"
"LEP","LOVASTATIN","rxcui:6472",0.122527753456673,NA,NA,"NCI","10083765","Metabolic"
"LEP","FAT EMULSION","ncit:C2575",0.63014273206289,NA,NA,"NCI","10726911","Metabolic"
"LEP","ANHYDROUS TACROLIMUS","rxcui:235991",0.142290294336782,NA,NA,"PharmGKB","26282401","Metabolic"
"LEP","CALCIUM CHANNEL BLOCKER","ncit:C333",0.490111013826692,NA,NA,"NCI","15591634","Metabolic"
"LEP","ESTRADIOL VALERATE","rxcui:24395",0.0980222027653384,NA,NA,"NCI","12721502","Metabolic"
"LEP","ORAL CONTRACEPTIVE","ncit:C389",0.400999920403657,NA,NA,"NCI","9284746","Metabolic"
"LEP","NICOTINE POLACRILEX","rxcui:31765",0.102581374986982,NA,NA,"NCI","10093001","Metabolic"
"LEP","METHADONE HYDROCHLORIDE","rxcui:218337",0.133666640134552,NA,NA,"NCI","15717844","Metabolic"
"LEP","BROMOCRIPTINE MESYLATE","rxcui:142426",0.441099912444023,NA,NA,"NCI","12088923","Metabolic"
"LEP","VALPROIC ACID","rxcui:11118",0.0747626970244106,NA,NA,"NCI","12370846","Metabolic"
"LEP","PROPYLTHIOURACIL","rxcui:8794",0.220549956222011,NA,NA,"NCI","12450621","Metabolic"
"LEP","FELODIPINE","rxcui:4316",0.294066608296015,NA,NA,"NCI","16097363","Metabolic"
"PNPLA2","PIGMENT EPITHELIUM-DERIVED FACTOR","iuphar.ligand:13831",17.6439964977609,"activator","ACTIVATING","GuideToPharmacology",NA,"Metabolic"
"PNPLA2","PDEF(98-114)H105A","iuphar.ligand:13832",17.6439964977609,"activator","ACTIVATING","GuideToPharmacology",NA,"Metabolic"
"PNPLA2","ATGLISTATIN","iuphar.ligand:12995",17.6439964977609,"inhibitor","INHIBITORY","GuideToPharmacology",NA,"Metabolic"
