"Drug","Number_of_Target_Genes","Target_Genes","Programs","Number_of_Sources"
"AMORFRUTIN A",2,"PLK1, PPARG","Metabolic, Proliferation",1
"BENZBROMARONE",2,"PLK1, PPARG","Metabolic, Proliferation",1
"CHEMBL:CHEMBL184450",2,"PLK1, PPARG","Metabolic, Proliferation",1
"ESTRADIOL VALERATE",2,"LEP, PPARG","Metabolic",2
"GW7647",2,"PLK1, PPARG","Metabolic, Proliferation",1
"NVP-TAE684",2,"AURKB, PLK1","Proliferation",1
"TROGLITAZONE",2,"LEP, PPARG","Metabolic",4
"(3Z)-N,N-DIMETHYL-2-OXO-3-(4,5,6,7-TETRAHYDRO-1H-INDOL-2-YLMETHYLIDENE)-2,3-DIHYDRO-1H-INDOLE-5-SULFONAMIDE",1,"AURKB","Proliferation",1
"(4-CHLOROPHENYL)(MORPHOLINO)METHANETHIONE",1,"PLK1","Proliferation",1
"(R)-16 [PMID: 32267688]",1,"PPARG","Metabolic",1
"1,4-DIMETHOXYANTHRAQUINONE",1,"PLK1","Proliferation",1
"15-DEOXY-&DELTA;-12,14-PROSTAGLANDIN J2",1,"PPARG","Metabolic",1
"2,4-DIHYDROXYBENZOPHENONE",1,"PLK1","Proliferation",1
"2,6-DIMETHOXYQUINONE",1,"PLK1","Proliferation",1
"2-CHLORO-5-NITRO-N-PHENYLBENZAMIDE",1,"PPARG","Metabolic",1
"2-PHENYLPHENOL",1,"PPARG","Metabolic",1
"3,5-DIPHENYLISOXAZOLE",1,"PLK1","Proliferation",1
"4-CHLOROMERCURIBENZOIC ACID",1,"PLK1","Proliferation",1
"6-CHLORONICOTINIC ACID",1,"PLK1","Proliferation",1
"9,10-PHENANTHRENEQUINONE",1,"PPARG","Metabolic",1
"ABIETIC ACID",1,"PPARG","Metabolic",1
"ACID BLUE 129",1,"PLK1","Proliferation",1
"ACITRETIN",1,"PLK1","Proliferation",1
"AD-5061",1,"PPARG","Metabolic",1
"AD5075",1,"PPARG","Metabolic",1
"ALDICARB",1,"PPARG","Metabolic",1
"ALEGLITAZAR",1,"PPARG","Metabolic",2
"ALISERTIB",1,"AURKB","Proliferation",2
"ALPHAPRODINE HYDROCHLORIDE",1,"PLK1","Proliferation",1
"AMBUNOL",1,"PLK1","Proliferation",1
"AMG-900",1,"AURKB","Proliferation",5
"ANHYDROUS TACROLIMUS",1,"LEP","Metabolic",1
"ANTICOAGULANT AGENT",1,"LEP","Metabolic",1
"ANTISENSE OLIGONUCLEOTIDES",1,"PLK1","Proliferation",1
"APIGENIN",1,"PPARG","Metabolic",1
"APOMORPHINE HYDROCHLORIDE",1,"PLK1","Proliferation",1
"AR-AO-14418",1,"AURKB","Proliferation",1
"ARHALOFENATE",1,"PPARG","Metabolic",1
"AROTINOID ACID",1,"PLK1","Proliferation",1
"ASPIRIN",1,"PPARG","Metabolic",1
"AT-9283",1,"AURKB","Proliferation",1
"AT9283",1,"AURKB","Proliferation",4
"ATGLISTATIN",1,"PNPLA2","Metabolic",1
"ATX08-001",1,"PPARG","Metabolic",1
"AURORA B/C KINASE INHIBITOR GSK1070916A",1,"AURKB","Proliferation",1
"AURORA KINASE INHIBITOR AMG 900",1,"AURKB","Proliferation",1
"AURORA KINASE INHIBITOR II",1,"AURKB","Proliferation",1
"AVE0847",1,"PPARG","Metabolic",1
"BADGE",1,"PPARG","Metabolic",1
"BALAGLITAZONE",1,"PPARG","Metabolic",1
"BALSALAZIDE",1,"PPARG","Metabolic",1
"BALSALAZIDE DISODIUM",1,"PPARG","Metabolic",1
"BARASERTIB",1,"AURKB","Proliferation",6
"BARASERTIB-HQPA",1,"AURKB","Proliferation",3
"BARDOXOLONE",1,"PPARG","Metabolic",1
