"Gene","Program","Drug","Drug_Concept_ID","Interaction_Score","Interaction_Type","Directionality","Sources","PubMed_IDs"
"PLK1","Proliferation","AMORFRUTIN A","chembl:CHEMBL491820",0.0696473545964246,NA,NA,"DTC",NA
"PPARG","Metabolic","AMORFRUTIN A","chembl:CHEMBL491820",0.151234255695093,NA,NA,"DTC","25938459"
"PLK1","Proliferation","BENZBROMARONE","rxcui:1385",0.0163876128462176,NA,NA,"DTC",NA
"PPARG","Metabolic","BENZBROMARONE","rxcui:1385",0.0177922653758933,NA,NA,"DTC",NA
"PLK1","Proliferation","CHEMBL:CHEMBL184450","chembl:CHEMBL184450",0.019899244170407,NA,NA,"DTC",NA
"PPARG","Metabolic","CHEMBL:CHEMBL184450","chembl:CHEMBL184450",0.0216048936707276,NA,NA,"DTC",NA
"LEP","Metabolic","ESTRADIOL VALERATE","rxcui:24395",0.0980222027653384,NA,NA,"NCI","12721502"
"PPARG","Metabolic","ESTRADIOL VALERATE","rxcui:24395",0.00672152247533749,NA,NA,"DTC",NA
"PLK1","Proliferation","GW7647","iuphar.ligand:2674",0.00960653166847237,NA,NA,"DTC",NA
"PPARG","Metabolic","GW7647","iuphar.ligand:2674",0.0208598973372543,NA,NA,"DTC","18162399"
"AURKB","Proliferation","NVP-TAE684","iuphar.ligand:5714",0.00564728363312522,NA,NA,"DTC",NA
"PLK1","Proliferation","NVP-TAE684","iuphar.ligand:5714",0.00270475163481261,NA,NA,"DTC",NA
"LEP","Metabolic","TROGLITAZONE","rxcui:72610",0.183791630185009,NA,NA,"NCI","10753628"
"PPARG","Metabolic","TROGLITAZONE","rxcui:72610",0.0882199824888046,"agonist; agonist","ACTIVATING; ACTIVATING","DTC; GuideToPharmacology; ChEMBL","22424300; 22579484; 16680159; 22342624"
