"Symbol","Direction","log2FoldChange","padj","baseMean","Description"
"CDC20","Upregulated",3.93282199729437,3.4346047042356e-18,629.136059494695,"cell division cycle 20"
"BUB1","Upregulated",3.95818975771531,6.83799963905864e-16,190.791349816668,"BUB1 mitotic checkpoint serine/threonine kinase"
"TRIP13","Upregulated",2.84130479814475,5.00559597913242e-14,266.604830239801,"thyroid hormone receptor interactor 13"
"PLK1","Upregulated",2.67149236238775,1.07376469331524e-10,484.143764417011,"polo like kinase 1"
"AURKB","Upregulated",3.32198904540508,6.37895843112661e-10,211.64545564205,"aurora kinase B"
"PNPLA2","Downregulated",-2.95347954502544,7.00865501580044e-48,12411.7576161751,"patatin like phospholipase domain containing 2"
"PPARG","Downregulated",-2.97234610636637,1.09772311614604e-32,1427.49319594883,"peroxisome proliferator activated receptor gamma"
"LIPE","Downregulated",-4.73186681031892,2.4178755659918e-26,7378.60095213995,"lipase E, hormone sensitive type"
"LEP","Downregulated",-5.92493879051531,8.56358640558654e-25,5233.08320247614,"leptin"
"CIDEC","Downregulated",-6.64590028407834,1.04032545419578e-19,5408.59396283789,"cell death inducing DFFA like effector c"
