"GeneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbol","Description","GeneType","EnsemblGeneID"
"991",629.136059494695,3.93282199729437,0.421740195586332,9.3252244828755,1.10748903047061e-20,3.4346047042356e-18,"CDC20","cell division cycle 20","protein-coding","ENSG00000117399"
"699",190.791349816668,3.95818975771531,0.455416318826779,8.69136566715968,3.58108395526579e-18,6.83799963905864e-16,"BUB1","BUB1 mitotic checkpoint serine/threonine kinase","protein-coding","ENSG00000169679"
"9319",266.604830239801,2.84130479814475,0.348762921589953,8.14680868365164,3.73654133745375e-16,5.00559597913242e-14,"TRIP13","thyroid hormone receptor interactor 13","protein-coding","ENSG00000071539"
"5347",484.143764417011,2.67149236238775,0.377859210943824,7.07007341627282,1.54851749651511e-12,1.07376469331524e-10,"PLK1","polo like kinase 1","protein-coding","ENSG00000166851"
"9212",211.64545564205,3.32198904540508,0.488995176163159,6.7935006465108,1.09444747382053e-11,6.37895843112661e-10,"AURKB","aurora kinase B","protein-coding","ENSG00000178999"
"57104",12411.7576161751,-2.95347954502544,0.194094331544936,-15.2167223097994,2.739146838551e-52,7.00865501580044e-48,"PNPLA2","patatin like phospholipase domain containing 2","protein-coding","ENSG00000177666"
"5468",1427.49319594883,-2.97234610636637,0.236796873487217,-12.5523030038099,3.86114356716862e-36,1.09772311614604e-32,"PPARG","peroxisome proliferator activated receptor gamma","protein-coding","ENSG00000132170"
"3991",7378.60095213995,-4.73186681031892,0.420254814631431,-11.2595183816486,2.0789175148247e-29,2.4178755659918e-26,"LIPE","lipase E, hormone sensitive type","protein-coding","ENSG00000079435"
"3952",5233.08320247614,-5.92493879051531,0.543239561954083,-10.9066776528623,1.07099216390655e-27,8.56358640558654e-25,"LEP","leptin","protein-coding","ENSG00000174697"
"63924",5408.59396283789,-6.64590028407834,0.683502712603662,-9.7232975985745,2.39884323279599e-22,1.04032545419578e-19,"CIDEC","cell death inducing DFFA like effector c","protein-coding","ENSG00000187288"
