"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008015","blood circulation","100/1430","436/16154",0.229357798165138,2.59094116892282,10.4949514426229,2.10029441844852e-19,1.02074308736598e-15,1.02074308736598e-15,"TRDN/TAC1/PDE2A/ITGA9/TEK/FXYD1/AKAP12/AGTR1/CAV1/ADRA1A/CELF2/RASL10B/HBB/CAV3/ADRA2B/DRD2/PER2/MIR27B/LEP/TACR1/GSTM2/ATP1A2/RAMP2/TBX2/P2RX1/SCN3A/TNNI3K/HSPB7/FOXN4/KLF2/NR2F2/ADRB1/ACVRL1/UTS2B/BIN1/CXCL12/C2CD4B/CMA1/SCN7A/PLVAP/TBX18/SERPING1/SCN11A/HRC/MYL2/DRD1/CASQ2/KCNJ12/ATP1B2/AVPR1A/DES/TNNC1/ADRA2C/MIR23A/SCN2B/KCNA5/SCN4A/PPARG/CLIC2/FERMT2/SCN9A/SCN3B/PECAM1/EDNRB/GPD1L/ITGB1BP1/EMILIN2/ADRA1D/SGCG/GSN/SPX/SNTA1/GPX1/KCNIP1/ADRB2/SPTBN4/ABCC9/KL/RARRES2/PLN/SCN4B/GPER1/CYB5R3/VEGFC/CTSG/SLIT2/CLDN5/CDH5/ACTC1/ANK2/KCNIP2/AVPR2/FFAR3/ADRA2A/ADIPOQ/SCN5A/ABCC8/EDN3/SVEP1/NPR1",100
"GO:0044057","regulation of system process","106/1430","493/16154",0.21501014198783,2.42886282074923,10.0412079601844,2.57295130164842e-18,6.25227166300565e-15,6.25227166300565e-15,"TRDN/CASQ1/TAC1/C1QTNF1/NR1H3/ARRB1/TNNC2/ITGA9/FXYD1/PTGER3/AGTR1/CAV1/ADRA1A/CELF2/CRY2/HAND2/MAG/CAV3/RELN/ADRA2B/DRD2/FGF10/PER2/LEP/TACR1/APLNR/PRKN/GSTM2/ATP1A2/TPPP/TBX2/NLGN1/TNFRSF1B/TNNI3K/S100B/HSPB7/CRHBP/FOXN4/SHANK3/ADRB1/BIN1/MIR145/GRIA1/NPY2R/ADGRD1/CNN1/TBX18/HRC/ECRG4/KLF4/MYL2/INHBB/CASQ2/KCNJ12/ATP1B2/AVPR1A/DES/TNNC1/TNNT3/ADRA2C/SCN2B/KCNA5/SCN4A/PPP1R12B/PPARG/TMEM100/CLIC2/SCN3B/EDNRB/GPD1L/ADRA1D/SPX/SNTA1/MIR214/KCNIP1/MIR143/MGLL/ADRB2/SPTBN4/ABCC9/PLN/CBLN1/SCN4B/GPER1/AQP1/JUND/MYOCD/OPRPN/ANK2/KCNIP2/GRIN2B/AVPR2/ADRA2A/MYL9/NRXN1/JAM2/ADIPOQ/SOAT2/IGF1/SCN5A/ABCC8/EDN3/SVEP1/NPR1/CLDN2/NR4A3",106
"GO:0120254","olefinic compound metabolic process","50/1430","153/16154",0.326797385620915,3.69166780931487,10.4249822531738,8.0024193462064e-17,1.29639193408544e-13,1.29639193408544e-13,"CYP11A1/RBP4/CYP3A4/ADH1A/ADH4/CYP2A6/EPHX2/CYP17A1/AKR1C1/PTGES/PNPLA4/AKR1C2/CYP4A11/CYP4A22/CYP2E1/GSTM2/CYP3A5/CYP4F12/ELOVL3/CES1/DHRS4/DHRS4L2/AKR1C3/ABHD6/HSD17B3/DGAT2/DHRS9/EDNRB/RDH5/PTGIS/PNPLA2/ADH1B/GPX1/CYP46A1/EPHX1/MGLL/ALDH1A1/DHRS4L1/LIPE/CYP21A2/ADH1C/GPX4/EGR1/AKR1C4/HPGDS/ALDH1A2/BMP2/RETSAT/PTGDS/DHRS3",50
"GO:0003012","muscle system process","88/1430","438/16154",0.200913242009132,2.26961714085002,8.39499676605726,1.40098247262607e-13,1.36175496339254e-10,1.36175496339254e-10,"TRDN/CASQ1/ARRB1/TNNC2/TMOD1/FXYD1/PTGER3/ACTA2/CAV1/ADRA1A/LMOD1/RPL34/HAND2/CAV3/ADRA2B/DRD2/LEP/TACR1/APLNR/GSTM2/MYOZ1/ATP1A2/MYOC/SCN3A/RYR3/TNFRSF1B/TNNI3K/MYH1/NMUR1/BIN1/MIR145/ADGRD1/SCN7A/CNN1/SCN11A/RPL9/HRC/KLF4/CKMT2/GAMT/MYL2/CASQ2/KCNJ12/APBB1/DES/TNNC1/TNNT3/ADRA2C/MIR23A/SCN2B/CRYAB/KCNA5/SCN4A/PPP1R12B/PPARG/CLIC2/ASB2/CA3/SCN9A/SCN3B/EDNRB/GPD1L/MYH11/GSN/SPX/SYNM/SNTA1/MIR214/KCNIP1/MIR143/ADRB2/PLN/KLF15/SCN4B/GPER1/SORBS2/JUND/MYOCD/ACTC1/ANK2/KCNIP2/ADRA2A/MYL9/IGF1/SCN5A/ABCC8/EDN3/NR4A3",88
"GO:0010817","regulation of hormone levels","88/1430","438/16154",0.200913242009132,2.26961714085002,8.39499676605726,1.40098247262607e-13,1.36175496339254e-10,1.36175496339254e-10,"HADH/TAC1/GHR/GNAZ/CYP11A1/C1QTNF1/RBP4/CYP3A4/ITSN1/ADH1A/AGTR1/ADH4/CRY2/RASL10B/CYP17A1/PCSK7/AKR1C1/PNPLA4/AKR1C2/MLXIPL/DRD2/KCNB1/PER2/LEP/TACR1/FFAR4/PRKN/PLA2G6/CYP3A5/BLK/FAM3B/CRHBP/NR5A2/NMB/PCSK2/CMA1/ADCY5/CES1/ANXA1/DHRS4/VIP/NNAT/IL6/FFAR2/AKR1C3/ECRG4/IRS2/CPLX1/RAPGEF3/HCAR2/INHBB/SLCO4A1/ADRA2C/HSD17B3/DGAT2/KCNA5/DHRS9/PPARG/RPH3AL/EDNRB/RDH5/HSD17B11/PNPLA2/ADH1B/CYP46A1/PTPRN2/BCHE/ALDH1A1/LIPE/CYP21A2/GPER1/DOC2B/ADH1C/HSD17B8/CTSG/SULT1A1/EGR1/AKR1C4/FFAR3/ADRA2A/ALDH1A2/BMP2/MYRIP/TPO/RETSAT/ABCC8/EDN3/DHRS3",88
"GO:0034308","primary alcohol metabolic process","34/1430","97/16154",0.350515463917526,3.95959916372287,9.11104664920936,7.18611335612187e-13,5.82075181845871e-10,5.82075181845871e-10,"CYP11A1/RBP4/CYP3A4/ADH1A/ADH4/CYP17A1/AKR1C1/PNPLA4/AKR1C2/ALDH2/CYP3A5/CES1/DHRS4/PECR/SULT1A2/AKR1C3/DGAT2/DHRS9/EDNRB/RDH5/PNPLA2/ADH1B/ACSS2/ALDH1A1/LIPE/CYP21A2/ADH1C/SULT1A1/AKR1C4/ALDH1A2/BMP2/IGF1/RETSAT/DHRS3",34
"GO:0007188","adenylate cyclase-modulating G protein-coupled receptor signaling pathway","57/1430","240/16154",0.2375,2.68291958041958,8.18579790295112,2.99511805631235e-12,2.07946767909686e-09,2.07946767909686e-09,"TAC1/GNAZ/PDE2A/CRHR2/GRM7/MRGPRX2/AKAP12/PTGER3/ADRA1A/ADRA2B/DRD2/TACR1/MARCO/FFAR4/APLNR/ADGRL3/GPR146/RAMP2/PTGER4/LHCGR/ADRB1/ADGRF5/RAMP3/GPBAR1/ADCY5/NPY1R/ADCY4/NPY2R/ADGRD1/CNR1/HCAR3/VIP/PALM/RAPGEF3/DRD1/GRK5/PTGER2/ADRA2C/PTH1R/HCAR1/GLP2R/ADRA1D/MRAP/S1PR1/ADRB2/PDE3B/P2RY12/PRKAR2B/GPER1/VIPR2/VIPR1/AVPR2/FFAR3/ADRA2A/ADCYAP1R1/NRXN1/S1PR4",57
"GO:0060047","heart contraction","52/1430","213/16154",0.244131455399061,2.75783183952198,8.048057272012,8.8884527411003e-12,5.39973504021843e-09,5.39973504021843e-09,"TRDN/TAC1/FXYD1/CAV1/ADRA1A/CELF2/CAV3/DRD2/GSTM2/ATP1A2/TBX2/SCN3A/TNNI3K/HSPB7/FOXN4/ADRB1/BIN1/SCN7A/TBX18/SCN11A/HRC/MYL2/CASQ2/KCNJ12/ATP1B2/AVPR1A/DES/TNNC1/SCN2B/KCNA5/SCN4A/CLIC2/SCN9A/SCN3B/EDNRB/GPD1L/SGCG/GSN/SPX/SNTA1/GPX1/KCNIP1/ADRB2/SPTBN4/ABCC9/PLN/SCN4B/ACTC1/ANK2/KCNIP2/SCN5A/EDN3",52
"GO:0003015","heart process","53/1430","221/16154",0.239819004524887,2.70911622314337,7.97261268401141,1.16954714217287e-11,6.31555456773352e-09,6.31555456773352e-09,"TRDN/TAC1/FXYD1/CAV1/ADRA1A/CELF2/CAV3/DRD2/GSTM2/ATP1A2/TBX2/SCN3A/TNNI3K/HSPB7/FOXN4/ADRB1/RAMP3/BIN1/SCN7A/TBX18/SCN11A/HRC/MYL2/CASQ2/KCNJ12/ATP1B2/AVPR1A/DES/TNNC1/SCN2B/KCNA5/SCN4A/CLIC2/SCN9A/SCN3B/EDNRB/GPD1L/SGCG/GSN/SPX/SNTA1/GPX1/KCNIP1/ADRB2/SPTBN4/ABCC9/PLN/SCN4B/ACTC1/ANK2/KCNIP2/SCN5A/EDN3",53
"GO:0006631","fatty acid metabolic process","72/1430","357/16154",0.201680672268908,2.27828641946289,7.61126222923307,2.02478292116286e-11,9.8404449968515e-09,9.8404449968515e-09,"NUDT7/CD36/HADH/NR1H3/CYP3A4/ECH1/ADH4/ACSL5/CAV1/CYP2A6/CRYL1/AKR1C1/ABCB11/PTGES/AKR1C2/MLXIPL/CYP4A11/PER2/CYP4A22/LEP/CYP2E1/PCCA/GSTM2/ACOX2/ACADS/ACOXL/LPL/PDK2/CYP4F12/FADS3/ELOVL3/SCD/GSTM1/LTC4S/CES1/ACACB/PECR/AKR1C3/GPIHBP1/PLA2G5/IRS2/AVPR1A/ABHD6/DGAT2/PPARG/PDK4/PTGIS/ACOT2/GPX1/EPHX1/ACOT1/MGLL/ACSS2/PLIN5/HACL1/ACAT1/HSD17B8/CYP4B1/ACADL/GPX4/PM20D1/AKR1C4/HPGDS/GSTM4/ABCD2/ACSM5/ADIPOQ/ECHDC3/PTGDS/ACSL1/CYGB/ACBD4",72
