ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0000280,nuclear division,100/1387,397/16154,0.251889169,2.933682503,11.95535133,1.40E-23,6.91E-20,6.91E-20,PKMYT1/SPDL1/CENPA/KIF18A/MOV10L1/RAD51/CDK1/SGO1/CENPK/STRA8/BUB1/CDC25C/KIF23/BIRC5/CDCA8/PRC1/BUB1B/KNSTRN/UHRF1/FBXO43/HSF2BP/SKA1/NCAPH/KNTC1/HASPIN/KIF2C/ANLN/MAD2L1/NCAPG2/CHEK1/NDC80/RCC1/MKI67/SPC24/PSRC1/KIF18B/UBE2S/CENPE/CENPI/SPAST/FIGNL1/CCNB1/KIF11/RAD21/MAPK15/SPIRE2/MAEL/TTK/KIF14/BRIP1/FBXO5/RAD51AP1/RAD54B/NUF2/TEX11/TOP2A/RACGAP1/NCAPD2/PLK1/SKA3/SGO2/BRCA2/TDRKH/KIF4A/RAD1/UBE2C/EPGN/DLGAP5/SPAG5/CCNA1/GEN1/MND1/ZWINT/TPX2/KNL1/TRIP13/CENPF/SMC4/CEP85/AURKA/SPC25/CDT1/MEIKIN/AURKB/NCAPG/MYBL1/ESPL1/NUSAP1/KIF20B/CDC20/BMP7/RAD54L/RMI1/CDCA2/NEK2/ZWILCH/PTTG1/INCENP/KIF15/KIFC1,100
GO:0048285,organelle fission,102/1387,443/16154,0.230248307,2.681637456,10.9989445,7.10E-21,1.75E-17,1.75E-17,PKMYT1/SPDL1/CENPA/KIF18A/MOV10L1/RAD51/CDK1/SGO1/CENPK/STRA8/BUB1/CDC25C/KIF23/BIRC5/CDCA8/PRC1/BUB1B/KNSTRN/UHRF1/FBXO43/HSF2BP/SKA1/NCAPH/KNTC1/HASPIN/KIF2C/ANLN/MAD2L1/NCAPG2/CHEK1/NDC80/RCC1/MKI67/SPC24/MTFR1/PSRC1/MTFR2/KIF18B/UBE2S/CENPE/CENPI/SPAST/FIGNL1/CCNB1/KIF11/RAD21/MAPK15/SPIRE2/MAEL/TTK/KIF14/BRIP1/FBXO5/RAD51AP1/RAD54B/NUF2/TEX11/TOP2A/RACGAP1/NCAPD2/PLK1/SKA3/SGO2/BRCA2/TDRKH/KIF4A/RAD1/UBE2C/EPGN/DLGAP5/SPAG5/CCNA1/GEN1/MND1/ZWINT/TPX2/KNL1/TRIP13/CENPF/SMC4/CEP85/AURKA/SPC25/CDT1/MEIKIN/AURKB/NCAPG/MYBL1/ESPL1/NUSAP1/KIF20B/CDC20/BMP7/RAD54L/RMI1/CDCA2/NEK2/ZWILCH/PTTG1/INCENP/KIF15/KIFC1,102
GO:0140014,mitotic nuclear division,75/1387,274/16154,0.273722628,3.187970677,11.19464225,3.24E-20,5.33E-17,5.33E-17,PKMYT1/SPDL1/CENPA/KIF18A/CDK1/CENPK/BUB1/CDC25C/KIF23/BIRC5/CDCA8/PRC1/BUB1B/KNSTRN/UHRF1/FBXO43/SKA1/NCAPH/KNTC1/HASPIN/KIF2C/ANLN/MAD2L1/NCAPG2/CHEK1/NDC80/RCC1/MKI67/SPC24/PSRC1/KIF18B/UBE2S/CENPE/CENPI/SPAST/CCNB1/KIF11/RAD21/TTK/KIF14/FBXO5/NUF2/RACGAP1/NCAPD2/PLK1/SKA3/KIF4A/UBE2C/EPGN/DLGAP5/SPAG5/GEN1/ZWINT/TPX2/KNL1/TRIP13/CENPF/SMC4/CEP85/AURKA/SPC25/CDT1/AURKB/NCAPG/ESPL1/NUSAP1/KIF20B/CDC20/BMP7/CDCA2/NEK2/ZWILCH/INCENP/KIF15/KIFC1,75
GO:0000819,sister chromatid segregation,67/1387,240/16154,0.279166667,3.251375871,10.76918012,1.11E-18,1.23E-15,1.23E-15,SPDL1/CENPA/KIF18A/CDK1/CENPK/BUB1/KIF23/BIRC5/CDCA8/PRC1/BUB1B/KNSTRN/UHRF1/SKA1/CDC6/NCAPH/KNTC1/TACC3/NEK6/HASPIN/KIF2C/MAD2L1/NCAPG2/NDC80/RCC1/SPC24/PSRC1/KIF18B/CENPE/CENPI/CCNB1/KIF11/RAD21/MAPK15/TTK/KIF14/FBXO5/NUF2/TOP2A/RACGAP1/NCAPD2/PLK1/SKA3/RMI2/KIF4A/UBE2C/DLGAP5/SPAG5/GEN1/ZWINT/TPX2/KNL1/SMARCA4/TRIP13/CENPF/SMC4/SPC25/CDT1/AURKB/NCAPG/ESPL1/NUSAP1/CDC20/ZWILCH/INCENP/KIF15/KIFC1,67
GO:0051783,regulation of nuclear division,47/1387,129/16154,0.364341085,4.243378437,11.33475535,1.43E-18,1.23E-15,1.23E-15,PKMYT1/SPDL1/STRA8/BUB1/CDC25C/BIRC5/CDCA8/BUB1B/FBXO43/SKA1/KNTC1/HASPIN/MAD2L1/CHEK1/NDC80/RCC1/MKI67/SPC24/CCNB1/RAD21/TTK/FBXO5/RAD51AP1/NUF2/PLK1/SKA3/RAD1/UBE2C/EPGN/DLGAP5/GEN1/ZWINT/KNL1/TRIP13/CENPF/AURKA/SPC25/AURKB/ESPL1/NUSAP1/KIF20B/CDC20/BMP7/CDCA2/NEK2/ZWILCH/INCENP,47
GO:0098813,nuclear chromosome segregation,77/1387,304/16154,0.253289474,2.949991462,10.51897827,1.49E-18,1.23E-15,1.23E-15,SPDL1/CENPA/KIF18A/CDK1/SGO1/CENPK/BUB1/KIF23/BIRC5/CDCA8/PRC1/BUB1B/KNSTRN/UHRF1/SKA1/CDC6/RCC2/NCAPH/KNTC1/TACC3/NEK6/HASPIN/KIF2C/SACK1D/MAD2L1/NCAPG2/NDC80/RCC1/SPC24/PSRC1/KIF18B/CENPE/CENPI/CCNB1/KIF11/RAD21/MAPK15/TTK/KIF14/FBXO5/NUF2/TEX11/TOP2A/RACGAP1/NCAPD2/PLK1/SKA3/SGO2/RMI2/KIF4A/UBE2C/DLGAP5/SPAG5/GEN1/MND1/ZWINT/TPX2/KNL1/SMARCA4/TRIP13/CENPF/SMC4/SPC25/ECT2/CDT1/MEIKIN/AURKB/NCAPG/ESPL1/NUSAP1/CDC20/NEK2/ZWILCH/PTTG1/INCENP/KIF15/KIFC1,77
GO:0000070,mitotic sister chromatid segregation,60/1387,201/16154,0.298507463,3.476632698,10.82822168,2.10E-18,1.48E-15,1.48E-15,SPDL1/CENPA/KIF18A/CDK1/CENPK/BUB1/KIF23/BIRC5/CDCA8/PRC1/BUB1B/KNSTRN/UHRF1/SKA1/NCAPH/KNTC1/HASPIN/KIF2C/MAD2L1/NCAPG2/NDC80/RCC1/SPC24/PSRC1/KIF18B/CENPE/CENPI/CCNB1/KIF11/RAD21/TTK/KIF14/FBXO5/NUF2/RACGAP1/NCAPD2/PLK1/SKA3/KIF4A/UBE2C/DLGAP5/SPAG5/GEN1/ZWINT/TPX2/KNL1/TRIP13/CENPF/SMC4/SPC25/CDT1/AURKB/NCAPG/ESPL1/NUSAP1/CDC20/ZWILCH/INCENP/KIF15/KIFC1,60
GO:0007088,regulation of mitotic nuclear division,44/1387,118/16154,0.372881356,4.342844574,11.16934881,6.39E-18,3.94E-15,3.94E-15,PKMYT1/SPDL1/BUB1/CDC25C/BIRC5/CDCA8/BUB1B/FBXO43/SKA1/KNTC1/HASPIN/MAD2L1/CHEK1/NDC80/RCC1/MKI67/SPC24/CCNB1/RAD21/TTK/FBXO5/NUF2/PLK1/SKA3/UBE2C/EPGN/DLGAP5/GEN1/ZWINT/KNL1/TRIP13/CENPF/AURKA/SPC25/AURKB/ESPL1/NUSAP1/KIF20B/CDC20/BMP7/CDCA2/NEK2/ZWILCH/INCENP,44
GO:1905818,regulation of chromosome separation,36/1387,81/16154,0.444444444,5.176319795,11.54799197,7.71E-18,4.22E-15,4.22E-15,SPDL1/BUB1/BIRC5/CDCA8/BUB1B/SKA1/NCAPH/KNTC1/HASPIN/MAD2L1/NCAPG2/NDC80/SPC24/CCNB1/RAD21/MAPK15/TTK/FBXO5/NUF2/PLK1/SKA3/UBE2C/DLGAP5/GEN1/ZWINT/KNL1/TRIP13/CENPF/SMC4/SPC25/AURKB/NCAPG/ESPL1/CDC20/ZWILCH/INCENP,36
GO:0051784,negative regulation of nuclear division,32/1387,69/16154,0.463768116,5.401377177,11.22848827,1.12E-16,5.49E-14,5.49E-14,SPDL1/BUB1/BIRC5/CDCA8/BUB1B/FBXO43/SKA1/KNTC1/HASPIN/MAD2L1/CHEK1/NDC80/SPC24/CCNB1/RAD21/TTK/FBXO5/NUF2/PLK1/SKA3/RAD1/GEN1/ZWINT/KNL1/TRIP13/CENPF/SPC25/AURKB/CDC20/BMP7/ZWILCH/INCENP,32
GO:0051304,chromosome separation,36/1387,87/16154,0.413793103,4.819332223,10.94708162,1.30E-16,5.82E-14,5.82E-14,SPDL1/BUB1/BIRC5/CDCA8/BUB1B/SKA1/NCAPH/KNTC1/HASPIN/MAD2L1/NCAPG2/NDC80/SPC24/CCNB1/RAD21/MAPK15/TTK/FBXO5/NUF2/PLK1/SKA3/UBE2C/DLGAP5/GEN1/ZWINT/KNL1/TRIP13/CENPF/SMC4/SPC25/AURKB/NCAPG/ESPL1/CDC20/ZWILCH/INCENP,36
GO:0007059,chromosome segregation,88/1387,406/16154,0.216748768,2.524412117,9.53391763,2.04E-16,8.40E-14,8.40E-14,SPDL1/CENPA/KIF18A/CENPH/CDK1/CENPU/SGO1/CENPK/BUB1/CENPN/KIF23/BIRC5/CDCA8/PRC1/BUB1B/KNSTRN/UHRF1/SRPK1/SKA1/CDC6/RCC2/NCAPH/KNTC1/CENPM/TACC3/NEK6/HASPIN/KIF2C/SACK1D/MAD2L1/NCAPG2/NDC80/RCC1/MKI67/SPC24/HJURP/PSRC1/KIF18B/CENPE/CENPI/CCNB1/KIF11/RAD21/MAPK15/TTK/KIF14/FBXO5/NUF2/TEX11/TOP2A/RACGAP1/NCAPD2/PLK1/SKA3/SGO2/RMI2/KIF4A/UBE2C/DLGAP5/SPAG5/GEN1/MND1/ZWINT/TPX2/KNL1/SMARCA4/TRIP13/CENPF/SMC4/CEP85/SPC25/ECT2/CDT1/MEIKIN/AURKB/NCAPG/ESPL1/NUSAP1/CDC20/CENPL/CDCA2/NEK2/ZWILCH/PTTG1/INCENP/KIF15/KIFC1/STIL,88
