"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008015","blood circulation","100/1430","479/18632",0.208768267223382,2.72011912930493,10.9963539008423,1.18482958654266e-20,5.89571202263627e-17,5.87613583831254e-17,"KL/RASL10B/ITGA9/KCNJ12/ITGB1BP1/TRDN/PDE2A/TEK/SCN9A/SGCG/RARRES2/GPER1/BIN1/AVPR1A/TNNI3K/PPARG/GSN/ABCC9/EMILIN2/FXYD1/CELF2/KCNIP1/C2CD4B/NPR1/SVEP1/GPD1L/GSTM2/CAV3/SCN5A/DRD1/AVPR2/RAMP2/TAC1/PLN/SCN7A/MIR23A/MYL2/CLIC2/NR2F2/ATP1A2/FERMT2/CAV1/PER2/SCN2B/CTSG/KCNIP2/CMA1/SPX/LEP/KLF2/ADRA1D/ATP1B2/MIR27B/ADIPOQ/EDN3/FOXN4/TACR1/SCN11A/SCN3A/KCNA5/TBX2/VEGFC/ANK2/ADRB1/PECAM1/SNTA1/AGTR1/CXCL12/DES/TNNC1/ACTC1/GPX1/PLVAP/SLIT2/HBB/SPTBN4/EDNRB/ACVRL1/AKAP12/CYB5R3/SERPING1/DRD2/ADRA1A/ABCC8/UTS2B/HSPB7/SCN4B/ADRA2C/CDH5/ADRB2/TBX18/ADRA2B/CLDN5/HRC/SCN3B/P2RX1/FFAR3/ADRA2A/CASQ2/SCN4A",100
"GO:0120254","olefinic compound metabolic process","50/1430","165/18632",0.303030303030303,3.94829413011231,10.9675907165824,8.15464763198624e-18,2.02887633083818e-14,2.02213962849077e-14,"ADH4/CYP2A6/CYP11A1/MGLL/CYP3A4/CYP17A1/GPX4/CYP2E1/ADH1A/CYP4F12/ADH1B/AKR1C1/GSTM2/PNPLA2/BMP2/DHRS4L2/DHRS4/CYP21A2/HPGDS/PNPLA4/ADH1C/CYP4A22/PTGIS/EPHX2/CYP46A1/EPHX1/DHRS9/LIPE/RETSAT/HSD17B3/PTGDS/RBP4/DHRS3/CYP3A5/GPX1/AKR1C2/ELOVL3/DHRS4L1/AKR1C4/ABHD6/EDNRB/AKR1C3/CYP4A11/EGR1/CES1/RDH5/PTGES/ALDH1A1/DGAT2/ALDH1A2",50
"GO:0003012","muscle system process","88/1430","476/18632",0.184873949579832,2.40879120879121,8.97711217822777,6.42563153753423e-15,1.06579808435901e-11,1.06225919716927e-11,"KCNJ12/TRDN/MIR143/ACTA2/SCN9A/GPER1/BIN1/TNNI3K/PPARG/PPP1R12B/GSN/RYR3/FXYD1/APBB1/MIR145/KCNIP1/GPD1L/GSTM2/IGF1/CA3/CAV3/SCN5A/PLN/SCN7A/MIR23A/MYL2/APLNR/MYOZ1/CLIC2/CKMT2/TNNC2/CASQ1/SYNM/ATP1A2/ASB2/ARRB1/CAV1/MYH1/PTGER3/MYOC/RPL9/LMOD1/SCN2B/JUND/KCNIP2/SORBS2/SPX/LEP/HAND2/EDN3/CRYAB/TACR1/NR4A3/SCN11A/SCN3A/NMUR1/KCNA5/ADGRD1/KLF4/ANK2/KLF15/SNTA1/MYOCD/DES/TNNC1/ACTC1/CNN1/EDNRB/RPL34/DRD2/ADRA1A/ABCC8/TNFRSF1B/MYH11/SCN4B/TNNT3/ADRA2C/MYL9/ADRB2/ADRA2B/HRC/SCN3B/TMOD1/GAMT/ADRA2A/CASQ2/MIR214/SCN4A",88
"GO:0010817","regulation of hormone levels","88/1430","487/18632",0.180698151950719,2.35438319380825,8.73221017987578,2.57461295836235e-14,3.20281852020277e-11,3.19218384783983e-11,"ADH4/FFAR2/IRS2/RASL10B/CYP11A1/CYP3A4/CYP17A1/PRKN/FAM3B/TPO/GPER1/ADCY5/PPARG/ADH1A/NNAT/KCNB1/HADH/ADH1B/AKR1C1/PNPLA2/BMP2/DHRS4/TAC1/CYP21A2/NMB/DOC2B/HCAR2/PNPLA4/RPH3AL/MYRIP/ADH1C/PER2/GHR/CTSG/CMA1/LEP/HSD17B11/NR5A2/CPLX1/EDN3/TACR1/ITSN1/ANXA1/CYP46A1/KCNA5/DHRS9/LIPE/C1QTNF1/HSD17B8/RETSAT/CRY2/ECRG4/HSD17B3/VIP/MLXIPL/PCSK7/AGTR1/GNAZ/RBP4/BLK/DHRS3/CYP3A5/BCHE/AKR1C2/SULT1A1/INHBB/AKR1C4/EDNRB/AKR1C3/DRD2/ABCC8/SLCO4A1/ADRA2C/EGR1/PLA2G6/CES1/PTPRN2/RDH5/IL6/ALDH1A1/FFAR3/ADRA2A/PCSK2/DGAT2/CRHBP/ALDH1A2/FFAR4/RAPGEF3",88
"GO:0034308","primary alcohol metabolic process","34/1430","106/18632",0.320754716981132,4.17923208866605,9.4641358579592,2.34596082534574e-13,2.33470021338408e-10,2.32694805019456e-10,"ADH4/CYP11A1/CYP3A4/CYP17A1/ADH1A/PECR/ADH1B/AKR1C1/IGF1/PNPLA2/BMP2/DHRS4/CYP21A2/ALDH2/PNPLA4/ADH1C/DHRS9/LIPE/RETSAT/RBP4/DHRS3/CYP3A5/AKR1C2/SULT1A1/AKR1C4/SULT1A2/EDNRB/AKR1C3/ACSS2/CES1/RDH5/ALDH1A1/DGAT2/ALDH1A2",34
"GO:0006631","fatty acid metabolic process","72/1430","389/18632",0.185089974293059,2.41160587484495,8.11216468575316,1.8562234904546e-12,1.44545850000549e-09,1.44065898437112e-09,"ADH4/CYP2A6/IRS2/FADS3/MGLL/CYP3A4/ACADS/GPX4/PLIN5/ACAT1/AVPR1A/GSTM4/PM20D1/CYP2E1/PPARG/CYP4F12/HADH/PECR/NUDT7/NR1H3/AKR1C1/GSTM2/PDK4/HPGDS/HACL1/CAV1/CD36/CYP4A22/PER2/ABCB11/PLA2G5/LEP/ACBD4/PTGIS/ADIPOQ/CYP4B1/EPHX1/GSTM1/LPL/PDK2/PCCA/ACSL5/HSD17B8/ACOX2/PTGDS/ACOT2/GPIHBP1/MLXIPL/LTC4S/CYGB/GPX1/ACOXL/AKR1C2/ACADL/ELOVL3/SCD/AKR1C4/ABHD6/ECH1/ECHDC3/ACACB/AKR1C3/CYP4A11/ACSS2/ACOT1/CRYL1/ACSL1/CES1/ACSM5/PTGES/DGAT2/ABCD2",72
"GO:0006936","muscle contraction","70/1430","374/18632",0.18716577540107,2.43865225683408,8.10329521243821,2.1967862769617e-12,1.44545850000549e-09,1.44065898437112e-09,"KCNJ12/TRDN/MIR143/ACTA2/SCN9A/GPER1/BIN1/TNNI3K/PPP1R12B/GSN/RYR3/FXYD1/APBB1/MIR145/KCNIP1/GPD1L/GSTM2/CA3/CAV3/SCN5A/PLN/SCN7A/MYL2/CLIC2/CKMT2/TNNC2/CASQ1/SYNM/ATP1A2/CAV1/MYH1/PTGER3/RPL9/LMOD1/SCN2B/KCNIP2/SPX/EDN3/CRYAB/TACR1/SCN11A/SCN3A/NMUR1/KCNA5/ADGRD1/ANK2/SNTA1/MYOCD/DES/TNNC1/ACTC1/CNN1/EDNRB/RPL34/DRD2/ADRA1A/MYH11/SCN4B/TNNT3/ADRA2C/MYL9/ADRB2/ADRA2B/HRC/SCN3B/TMOD1/GAMT/ADRA2A/CASQ2/SCN4A",70
"GO:0060047","heart contraction","52/1430","235/18632",0.221276595744681,2.88309477756286,8.37585664899317,2.33895599433737e-12,1.44545850000549e-09,1.44065898437112e-09,"KCNJ12/TRDN/SCN9A/SGCG/BIN1/AVPR1A/TNNI3K/GSN/ABCC9/FXYD1/CELF2/KCNIP1/GPD1L/GSTM2/CAV3/SCN5A/TAC1/PLN/SCN7A/MYL2/CLIC2/ATP1A2/CAV1/SCN2B/KCNIP2/SPX/ATP1B2/EDN3/FOXN4/SCN11A/SCN3A/KCNA5/TBX2/ANK2/ADRB1/SNTA1/DES/TNNC1/ACTC1/GPX1/SPTBN4/EDNRB/DRD2/ADRA1A/HSPB7/SCN4B/ADRB2/TBX18/HRC/SCN3B/CASQ2/SCN4A",52
"GO:0003015","heart process","53/1430","243/18632",0.218106995884774,2.84179688624133,8.33225293153052,2.61437429663373e-12,1.44545850000549e-09,1.44065898437112e-09,"KCNJ12/TRDN/SCN9A/SGCG/BIN1/AVPR1A/TNNI3K/GSN/ABCC9/FXYD1/CELF2/KCNIP1/GPD1L/GSTM2/CAV3/SCN5A/TAC1/PLN/SCN7A/MYL2/CLIC2/ATP1A2/CAV1/SCN2B/KCNIP2/SPX/ATP1B2/EDN3/FOXN4/SCN11A/SCN3A/KCNA5/TBX2/RAMP3/ANK2/ADRB1/SNTA1/DES/TNNC1/ACTC1/GPX1/SPTBN4/EDNRB/DRD2/ADRA1A/HSPB7/SCN4B/ADRB2/TBX18/HRC/SCN3B/CASQ2/SCN4A",53
"GO:1903522","regulation of blood circulation","53/1430","256/18632",0.20703125,2.69748688811189,7.88492469394253,2.16356997337903e-11,1.0765924187534e-08,1.073017689942e-08,"ITGA9/KCNJ12/TRDN/BIN1/AVPR1A/TNNI3K/ABCC9/FXYD1/CELF2/KCNIP1/SVEP1/GPD1L/GSTM2/CAV3/SCN5A/AVPR2/TAC1/PLN/MYL2/CLIC2/ATP1A2/CAV1/PER2/SCN2B/KCNIP2/SPX/LEP/ADRA1D/ATP1B2/EDN3/FOXN4/TACR1/KCNA5/TBX2/ANK2/ADRB1/SNTA1/AGTR1/DES/SPTBN4/EDNRB/DRD2/ADRA1A/HSPB7/SCN4B/ADRA2C/ADRB2/TBX18/ADRA2B/HRC/SCN3B/ADRA2A/CASQ2",53
