"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000280","nuclear division","100/1387","420/18632",0.238095238095238,3.19840697634497,12.9234549139556,3.24369495085512e-26,1.62703738734893e-22,1.62703738734893e-22,"FBXO43/CENPK/CENPE/MOV10L1/SPDL1/RAD21/CDK1/CENPA/PLK1/HSF2BP/STRA8/SGO2/CDCA8/KIF14/SPC24/NDC80/ANLN/KIF18A/KIF23/RAD51/CHEK1/KIF15/CCNB1/ZWILCH/PTTG1/NCAPD2/MYBL1/CEP85/RAD54B/SGO1/AURKB/GEN1/AURKA/BMP7/FBXO5/CDC25C/UBE2C/EPGN/KIF18B/UBE2S/CCNA1/BIRC5/NCAPG/PRC1/NEK2/SPIRE2/MAPK15/TTK/PSRC1/CDC20/BRIP1/KNSTRN/RAD1/KIF20B/CDCA2/NCAPH/KIF11/PKMYT1/MND1/FIGNL1/SPAST/CENPF/KIFC1/SKA3/ZWINT/NUF2/BUB1B/MEIKIN/MKI67/MAEL/CENPI/TDRKH/BRCA2/RMI1/NUSAP1/ESPL1/MAD2L1/TRIP13/SPAG5/BUB1/CDT1/SPC25/RAD51AP1/NCAPG2/SMC4/HASPIN/KIF2C/TEX11/SKA1/RCC1/RACGAP1/KNL1/INCENP/UHRF1/RAD54L/DLGAP5/TPX2/KNTC1/KIF4A/TOP2A",100
"GO:0048285","organelle fission","102/1387","467/18632",0.218415417558887,2.9340418600989,12.0041474942871,1.33106507675985e-23,3.33831121251369e-20,3.33831121251369e-20,"MTFR1/FBXO43/CENPK/CENPE/MOV10L1/SPDL1/RAD21/CDK1/CENPA/PLK1/HSF2BP/STRA8/SGO2/CDCA8/KIF14/SPC24/NDC80/ANLN/KIF18A/KIF23/RAD51/CHEK1/KIF15/CCNB1/ZWILCH/PTTG1/NCAPD2/MYBL1/CEP85/RAD54B/SGO1/AURKB/GEN1/AURKA/BMP7/FBXO5/CDC25C/UBE2C/EPGN/KIF18B/UBE2S/CCNA1/BIRC5/NCAPG/PRC1/NEK2/SPIRE2/MAPK15/TTK/PSRC1/CDC20/BRIP1/KNSTRN/RAD1/KIF20B/CDCA2/NCAPH/KIF11/PKMYT1/MND1/FIGNL1/SPAST/CENPF/KIFC1/SKA3/ZWINT/NUF2/BUB1B/MEIKIN/MKI67/MAEL/CENPI/TDRKH/BRCA2/RMI1/NUSAP1/ESPL1/MAD2L1/MTFR2/TRIP13/SPAG5/BUB1/CDT1/SPC25/RAD51AP1/NCAPG2/SMC4/HASPIN/KIF2C/TEX11/SKA1/RCC1/RACGAP1/KNL1/INCENP/UHRF1/RAD54L/DLGAP5/TPX2/KNTC1/KIF4A/TOP2A",102
"GO:0140014","mitotic nuclear division","75/1387","280/18632",0.267857142857143,3.59820784838809,12.4232698792843,3.13843454504514e-23,5.24746255931547e-20,5.24746255931547e-20,"FBXO43/CENPK/CENPE/SPDL1/RAD21/CDK1/CENPA/PLK1/CDCA8/KIF14/SPC24/NDC80/ANLN/KIF18A/KIF23/CHEK1/KIF15/CCNB1/ZWILCH/NCAPD2/CEP85/AURKB/GEN1/AURKA/BMP7/FBXO5/CDC25C/UBE2C/EPGN/KIF18B/UBE2S/BIRC5/NCAPG/PRC1/NEK2/TTK/PSRC1/CDC20/KNSTRN/KIF20B/CDCA2/NCAPH/KIF11/PKMYT1/SPAST/CENPF/KIFC1/SKA3/ZWINT/NUF2/BUB1B/MKI67/CENPI/NUSAP1/ESPL1/MAD2L1/TRIP13/SPAG5/BUB1/CDT1/SPC25/NCAPG2/SMC4/HASPIN/KIF2C/SKA1/RCC1/RACGAP1/KNL1/INCENP/UHRF1/DLGAP5/TPX2/KNTC1/KIF4A",75
"GO:0000819","sister chromatid segregation","67/1387","245/18632",0.273469387755102,3.67359886997337,11.9467167583897,2.03180791706857e-21,2.54788712800399e-18,2.54788712800399e-18,"CENPK/CENPE/SPDL1/RAD21/CDK1/CENPA/PLK1/SMARCA4/CDCA8/KIF14/SPC24/NDC80/KIF18A/KIF23/KIF15/CCNB1/ZWILCH/NCAPD2/AURKB/GEN1/CDC6/FBXO5/UBE2C/KIF18B/BIRC5/NCAPG/PRC1/TACC3/MAPK15/TTK/PSRC1/CDC20/KNSTRN/NCAPH/KIF11/NEK6/CENPF/KIFC1/SKA3/ZWINT/NUF2/BUB1B/CENPI/NUSAP1/ESPL1/MAD2L1/TRIP13/SPAG5/BUB1/CDT1/SPC25/NCAPG2/SMC4/HASPIN/KIF2C/SKA1/RCC1/RMI2/RACGAP1/KNL1/INCENP/UHRF1/DLGAP5/TPX2/KNTC1/KIF4A/TOP2A",67
"GO:0098813","nuclear chromosome segregation","77/1387","314/18632",0.245222929936306,3.29415546544575,11.627152153589,2.96862657654377e-21,2.97812618158871e-18,2.97812618158871e-18,"CENPK/CENPE/SPDL1/RAD21/CDK1/CENPA/PLK1/ECT2/SMARCA4/SGO2/CDCA8/KIF14/SPC24/NDC80/KIF18A/KIF23/KIF15/CCNB1/ZWILCH/PTTG1/NCAPD2/SGO1/AURKB/GEN1/CDC6/FBXO5/UBE2C/KIF18B/BIRC5/RCC2/NCAPG/PRC1/NEK2/SACK1D/TACC3/MAPK15/TTK/PSRC1/CDC20/KNSTRN/NCAPH/KIF11/NEK6/MND1/CENPF/KIFC1/SKA3/ZWINT/NUF2/BUB1B/MEIKIN/CENPI/NUSAP1/ESPL1/MAD2L1/TRIP13/SPAG5/BUB1/CDT1/SPC25/NCAPG2/SMC4/HASPIN/KIF2C/TEX11/SKA1/RCC1/RMI2/RACGAP1/KNL1/INCENP/UHRF1/DLGAP5/TPX2/KNTC1/KIF4A/TOP2A",77
"GO:0000070","mitotic sister chromatid segregation","60/1387","204/18632",0.294117647058824,3.95097332372026,12.0189348101213,4.77154189403111e-21,3.98900902341001e-18,3.98900902341001e-18,"CENPK/CENPE/SPDL1/RAD21/CDK1/CENPA/PLK1/CDCA8/KIF14/SPC24/NDC80/KIF18A/KIF23/KIF15/CCNB1/ZWILCH/NCAPD2/AURKB/GEN1/FBXO5/UBE2C/KIF18B/BIRC5/NCAPG/PRC1/TTK/PSRC1/CDC20/KNSTRN/NCAPH/KIF11/CENPF/KIFC1/SKA3/ZWINT/NUF2/BUB1B/CENPI/NUSAP1/ESPL1/MAD2L1/TRIP13/SPAG5/BUB1/CDT1/SPC25/NCAPG2/SMC4/HASPIN/KIF2C/SKA1/RCC1/RACGAP1/KNL1/INCENP/UHRF1/DLGAP5/TPX2/KNTC1/KIF4A",60
"GO:0051783","regulation of nuclear division","47/1387","135/18632",0.348148148148148,4.6767817565222,12.1593063971443,4.04533101856913e-20,2.8987686270204e-17,2.8987686270204e-17,"FBXO43/SPDL1/RAD21/PLK1/STRA8/CDCA8/SPC24/NDC80/CHEK1/CCNB1/ZWILCH/AURKB/GEN1/AURKA/BMP7/FBXO5/CDC25C/UBE2C/EPGN/BIRC5/NEK2/TTK/CDC20/RAD1/KIF20B/CDCA2/PKMYT1/CENPF/SKA3/ZWINT/NUF2/BUB1B/MKI67/NUSAP1/ESPL1/MAD2L1/TRIP13/BUB1/SPC25/RAD51AP1/HASPIN/SKA1/RCC1/KNL1/INCENP/DLGAP5/KNTC1",47
"GO:0007088","regulation of mitotic nuclear division","44/1387","120/18632",0.366666666666667,4.92554674357126,12.2345730796067,6.14794885377791e-20,3.85476393131875e-17,3.85476393131875e-17,"FBXO43/SPDL1/RAD21/PLK1/CDCA8/SPC24/NDC80/CHEK1/CCNB1/ZWILCH/AURKB/GEN1/AURKA/BMP7/FBXO5/CDC25C/UBE2C/EPGN/BIRC5/NEK2/TTK/CDC20/KIF20B/CDCA2/PKMYT1/CENPF/SKA3/ZWINT/NUF2/BUB1B/MKI67/NUSAP1/ESPL1/MAD2L1/TRIP13/BUB1/SPC25/HASPIN/SKA1/RCC1/KNL1/INCENP/DLGAP5/KNTC1",44
"GO:1905818","regulation of chromosome separation","36/1387","82/18632",0.439024390243902,5.89755042467512,12.604876632232,1.2669357437488e-19,7.06105521182664e-17,7.06105521182664e-17,"SPDL1/RAD21/PLK1/CDCA8/SPC24/NDC80/CCNB1/ZWILCH/AURKB/GEN1/FBXO5/UBE2C/BIRC5/NCAPG/MAPK15/TTK/CDC20/NCAPH/CENPF/SKA3/ZWINT/NUF2/BUB1B/ESPL1/MAD2L1/TRIP13/BUB1/SPC25/NCAPG2/SMC4/HASPIN/SKA1/KNL1/INCENP/DLGAP5/KNTC1",36
"GO:0007059","chromosome segregation","88/1387","419/18632",0.210023866348449,2.82131555717685,10.6936552534688,2.52271845432516e-19,1.2653955766895e-16,1.2653955766895e-16,"CENPK/CENPE/SPDL1/RAD21/CDK1/CENPA/PLK1/ECT2/SMARCA4/SGO2/CDCA8/KIF14/SPC24/NDC80/KIF18A/KIF23/KIF15/CENPU/CCNB1/HJURP/ZWILCH/PTTG1/NCAPD2/CENPH/CEP85/SGO1/AURKB/GEN1/CDC6/FBXO5/UBE2C/KIF18B/BIRC5/RCC2/NCAPG/PRC1/NEK2/SACK1D/TACC3/MAPK15/TTK/PSRC1/CDC20/STIL/KNSTRN/CDCA2/NCAPH/KIF11/NEK6/MND1/CENPF/KIFC1/SKA3/ZWINT/NUF2/BUB1B/MEIKIN/MKI67/CENPI/NUSAP1/ESPL1/MAD2L1/TRIP13/SPAG5/BUB1/CDT1/SPC25/CENPN/NCAPG2/SMC4/HASPIN/KIF2C/TEX11/SKA1/SRPK1/RCC1/RMI2/RACGAP1/KNL1/INCENP/UHRF1/DLGAP5/TPX2/KNTC1/CENPM/KIF4A/CENPL/TOP2A",88
