"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_ADIPOGENESIS",2.30672446164629e-17,3.84454076941048e-16,1.07686819261983,-0.594652760366114,-2.4345614181558,200,"PPARG;LIPE;FZD4;LEP;ALDH2;ITIH5;GPX3;FABP4;CD36;ITGA7;CIDEA;CAVIN2;LPL;GPAM;CYP4B1;ACADS;HADH;CAVIN1;GPX4;ADIPOQ;SNCG;ACADL;LTC4S;ENPP2;MGLL;VEGFB;MRAP;HSPB8;PTGER3;QDPR;CAT;SORBS1;PEMT;DHRS7B;TST;ECH1;EPHX2;SPARCL1;STOM;STAT5A;CDKN2C;FAH;ELMOD3;CD151;LIFR;SLC25A1;SSPN;ECHS1;MTARC2;ADCY6;CD302;ACAA2;ITSN1;PHLDB1;ETFB;SULT1A1;DECR1;C3;ESYT1;LAMA4;RETSAT;SLC27A1;GADD45A;CHCHD10;SCARB1;BCL6;TKT;OMD;RTN3;CMBL;PEX14;UQCR11;GPHN;COL15A1;RAB34;COQ5;DGAT1"
"HALLMARK_MYOGENESIS",7.84337126981523e-11,5.60240804986802e-10,0.839088935621274,-0.515436856203451,-2.11024444389336,200,"CFD;GSN;FXYD1;PYGM;GPX3;MYOM1;FHL1;CD36;ITGA7;CASQ2;BIN1;TNNT3;HSPB2;COX7A1;HRC;CRYAB;SGCG;TNNC2;LDB3;MYH11;VIPR1;LAMA2;SOD3;ABLIM1;CTF1;HSPB8;APLNR;DES;PTGIS;SORBS1;APOD;BAG1;FGF2;MYO1C;IGF1;SORBS3;CKMT2;PC;MYH1;TAGLN;OCEL1;SSPN;ACTC1;TNNC1;LSP1;CAV3;SCD;MYH3;CDKN1A;CKB;CLU;ACSL1;FOXO4;MYL2;TPM2;AK1;SPTAN1;ADCY9;GABARAPL2;HDAC5;MRAS;CASQ1;MYOZ1;MYL3;GJA5;PPP1R3C;MYOM2;DMD;CACNA1H;SH3BGR;SIRT2;NCAM1;COL15A1;SGCA;MYH2;AKT2;FLII;STC2;CRAT;DAPK2;MEF2C;GADD45B"
"HALLMARK_FATTY_ACID_METABOLISM",4.94982181764118e-07,2.47491090882059e-06,0.659444398037935,-0.480563369453174,-1.90106726582293,158,"AOC3;GPD1;MAOA;AQP7;G0S2;CD36;CA4;CIDEA;ACADS;HADH;INMT;ACADL;LTC4S;ADH1C;MGLL;MLYCD;GABARAPL1;ACOT2;HSDL2;HMGCL;CYP4A11;ALDH1A1;EPHX1;ECH1;HSD17B11;ALDH3A2;ECI2;ACSL5;UROD;ACADVL;ECHS1;ACAA2;PSME1;ALDH3A1;DECR1;CYP4A22;ACSL1;PDHB;ALAD;CPT1A;RETSAT;PCBD1;AUH;ETFDH;MDH1;IDH3B;DLST;SERINC1;HSD17B4;XIST;PRDX6;GRHPR;GSTZ1;FASN;HMGCS2;CRAT;CBR3;SDHD;SUCLG1"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",1.10586487113028e-05,5.02665850513766e-05,0.593325476396405,-0.424387023555543,-1.73747831133952,200,"PDK4;GPX4;ACAT1;ISCU;CYB5R3;CYB5A;SLC25A20;ECH1;ALDH6A1;ACADVL;SLC25A4;GLUD1;ECHS1;ATP5F1D;BDH2;SLC25A3;NDUFS4;ACAA2;SURF1;ETFB;DECR1;NDUFS8;OXA1L;PDHB;MAOB;NDUFA2;CPT1A;RETSAT;NDUFB8;NDUFS7;ATP5F1A;ETFDH;NDUFV1;MDH1;ACADSB;IDH3B;DLST;SLC25A6;ATP5MC2;TIMM9;ETFA;COX4I1;NDUFA7;COX7C;UQCR11;ATP6V1E1;LDHB;UQCRC2;NDUFB1;NQO2;FDX1;ATP5ME;SDHB;MPC1;SDHD;SUCLG1;MRPL34;ATP5PO;NDUFV2;ATP5MG;ATP5F1B;ATP5PF;NDUFC1;NDUFB7;UQCRB;SLC25A11;MRPS15;CS;SUCLA2;HADHA;NDUFA3;COX5B;ISCA1;NDUFB6;MRPS11;ATP5MC1;ATP5PD;COX6A1;MGST3;PRDX3;IDH3G;NDUFC2;GRPEL1;UQCRQ;COX17;MRPL11;HTRA2;ALAS1"
"HALLMARK_XENOBIOTIC_METABOLISM",1.46041091680616e-05,6.08504548669233e-05,0.593325476396405,-0.42196860802952,-1.72757710255828,200,"ATOH8;F10;MAOA;ALDH2;CD36;PDK4;CDO1;RBP4;CES1;HACL1;AOX1;ADH1C;GABARAPL1;ETS2;ABCD2;CAT;PEMT;PINK1;ACOX2;EPHX1;CYB5A;EPHA2;ESR1;NDRG2;ECH1;IGF1;VTN;PC;ABHD6;IGFBP4;TAT;FAH;AKR1C3;ADH5;PTGDS;AKR1C2;SERTAD1;HSD11B1;FBLN1;ALDH3A1;CYP2E1;PTGES;ARG2;RETSAT;LCAT;CSAD;SERPINA6;GSTM4;MPP2;FBP1;PROS1;CYP17A1;DDAH2;ETFDH;ARG1;BLVRB;NINJ1;ITIH1;FMO3;TMEM176B;GSTT2;IL1R1;IRF8;DCXR;TKFC;MAN1A1;PTGR1;UPB1;NQO1;AP4B1;SLC12A4;MTHFD1;DHRS1;TTPA;NMT1;TNFRSF1A;CYP1A1"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.000166846481257152,0.000521395253928601,0.518848077743792,-0.392832323874904,-1.60829055753732,200,"KLF4;FOSB;G0S2;KLF2;PPP1R15A;FOS;PER1;MAFF;ZFP36;EGR1;BTG2;SOCS3;EIF1;ETS2;NR4A1;ATF3;TRIP10;F3;IL6ST;PTGER4;MYC;PLPP3;CEBPD;JUNB;NR4A3;STAT5A;SMAD3;KLF9;DUSP1;JUN;CCN1;CXCL2;CSF1;TNIP1;IL15RA;IER2;CDKN1A;RHOB;CFLAR;IL6;CCNL1;ACKR3;IRS2;EGR3;TIPARP;CCL4;KLF6;GADD45A;CCL2;MAP3K8;BMP2;EDN1;NFIL3;SNN;BCL6;NINJ1;RELA;TNFAIP2;AREG;NFKBIA"
"HALLMARK_BILE_ACID_METABOLISM",0.000216404829785749,0.000601124527182636,0.518848077743792,-0.445675813107132,-1.68707459094912,111,"LIPE;ABCA6;ABCA9;ABCA8;HACL1;MLYCD;ABCD2;CAT;ALDH1A1;PEX11A;RXRG;PECR;HSD17B11;EPHX2;SLC27A5;SOAT2;ACSL5;CYP46A1;NR3C2;GSTK1;AGXT;ACSL1;BMP6;RXRA;RETSAT;SERPINA6;PEX19;PEX11G;BCAR3;HSD17B4;SLC29A1;ABCA5;CH25H;PEX16;ABCA2;SLCO1A2;EFHC1;HSD3B7;PAOX;PXMP2;OPTN;ISOC1"
"HALLMARK_UV_RESPONSE_DN",0.000206413610491499,0.000601124527182636,0.518848077743792,-0.421926013539798,-1.63445141475768,142,"PPARG;RBPMS;TGFBR3;CAV1;GRK5;TGFBR2;NR3C1;MGLL;DLC1;CDON;MGMT;SYNE1;CITED2;MAP2K5;ID1;PRKAR2B;F3;MYC;PLPP3;CELF2;MAGI2;FBLN5;DMAC2L;SMAD3;MT1E;DUSP1;TFPI;CCN1;PMP22;APBB2;PTPRM;EFEMP1;RXRA;FYN;MRPS31;DBP;IGFBP5;NFIB;PTPN21;PTGFR;ATP2B4;PEX14;PDGFRB;LAMC1;LPAR1"
"HALLMARK_HEME_METABOLISM",0.00496354506333249,0.0118179644365059,0.407017918923954,-0.34681632405919,-1.41325984226405,198,"ALDH1L1;TNS1;EPB42;HBB;GYPC;TAL1;HBD;DMTN;ACKR1;LMO2;EZH1;BTG2;NR3C1;CAT;MARCHF2;SIDT2;ALDH6A1;ADD1;KHNYN;PC;UROD;SLC66A2;HEBP1;BCAM;GYPE;KAT2B;C3;CCDC28A;CLIC2;EPOR;HAGH;ALAD;ABCG2;PPP2R5B;RBM5;SNCA;ALAS2;ENDOD1;GATA1;HBZ;SELENBP1;CROCCP2;SEC14L1;BLVRB;ANK1"
"HALLMARK_COAGULATION",0.0069109873851583,0.0157067895117234,0.407017918923954,-0.367783672215795,-1.41969773789708,138,"CFD;GSN;F10;RAPGEF3;VWF;ANG;MAFF;PECAM1;F8;ANXA1;THBD;MASP2;ISCU;F3;ACOX2;TFPI2;RGN;SERPING1;DUSP14;TF;TIMP3;DUSP6;CSRP1;LRP1;CLU;CPQ;C3;FYN;PROS1;A2M;C1R;CASP9;SIRT2;CFH;HTRA1;GNG12;ITIH1;C1QA;PDGFB;CRIP2;HMGCS2;CTSH"
