"Pathway","Gene","NES","padj","log2FoldChange","Direction","Candidate_Gene_Count"
"HALLMARK_ADIPOGENESIS","LEP",-2.4345614181558,3.84454076941048e-16,-5.92493879051531,"Normal-enriched",3
"HALLMARK_ADIPOGENESIS","LIPE",-2.4345614181558,3.84454076941048e-16,-4.73186681031892,"Normal-enriched",3
"HALLMARK_ADIPOGENESIS","PPARG",-2.4345614181558,3.84454076941048e-16,-2.97234610636637,"Normal-enriched",3
"HALLMARK_BILE_ACID_METABOLISM","LIPE",-1.68707459094912,0.000601124527182636,-4.73186681031892,"Normal-enriched",1
"HALLMARK_UV_RESPONSE_DN","PPARG",-1.63445141475768,0.000601124527182636,-2.97234610636637,"Normal-enriched",1
"HALLMARK_SPERMATOGENESIS","BUB1",1.58387441356623,0.0016674302682837,3.95818975771531,"TNBC-enriched",1
"HALLMARK_MYC_TARGETS_V2","PLK1",1.98059558369884,7.85426928349205e-05,2.67149236238775,"TNBC-enriched",1
"HALLMARK_MITOTIC_SPINDLE","BUB1",2.07439570947015,3.84372712832272e-09,3.95818975771531,"TNBC-enriched",2
"HALLMARK_MITOTIC_SPINDLE","PLK1",2.07439570947015,3.84372712832272e-09,2.67149236238775,"TNBC-enriched",2
"HALLMARK_MYC_TARGETS_V1","CDC20",2.23442029253473,6.32828386155544e-12,3.93282199729437,"TNBC-enriched",1
"HALLMARK_MTORC1_SIGNALING","BUB1",2.41065230265982,1.11515793986458e-15,3.95818975771531,"TNBC-enriched",2
"HALLMARK_MTORC1_SIGNALING","PLK1",2.41065230265982,1.11515793986458e-15,2.67149236238775,"TNBC-enriched",2
"HALLMARK_E2F_TARGETS","AURKB",2.96182785174456,1.18257662485628e-33,3.32198904540508,"TNBC-enriched",4
"HALLMARK_E2F_TARGETS","CDC20",2.96182785174456,1.18257662485628e-33,3.93282199729437,"TNBC-enriched",4
"HALLMARK_E2F_TARGETS","PLK1",2.96182785174456,1.18257662485628e-33,2.67149236238775,"TNBC-enriched",4
"HALLMARK_E2F_TARGETS","TRIP13",2.96182785174456,1.18257662485628e-33,2.84130479814475,"TNBC-enriched",4
"HALLMARK_G2M_CHECKPOINT","AURKB",2.99955843666968,3.12464218801968e-34,3.32198904540508,"TNBC-enriched",4
"HALLMARK_G2M_CHECKPOINT","BUB1",2.99955843666968,3.12464218801968e-34,3.95818975771531,"TNBC-enriched",4
"HALLMARK_G2M_CHECKPOINT","CDC20",2.99955843666968,3.12464218801968e-34,3.93282199729437,"TNBC-enriched",4
"HALLMARK_G2M_CHECKPOINT","PLK1",2.99955843666968,3.12464218801968e-34,2.67149236238775,"TNBC-enriched",4
