"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Amino acid metabolism","hsa00350","Tyrosine metabolism","15/789","36/9184",0.416666666666667,4.85002112378538,7.09531577355448,8.97980366632006e-08,2.58035402418443e-05,2.58035402418443e-05,"127/7173/316/124/125/3242/2184/126/218/8639/314/4129/6898/5409/4128",15
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00982","Drug metabolism - cytochrome P450","21/789","70/9184",0.3,3.49201520912548,6.41601897925785,2.10926377875376e-07,2.58035402418443e-05,2.58035402418443e-05,"127/1548/1576/316/2948/1571/124/125/4257/2946/27306/126/218/2327/2949/2944/2947/4129/4258/1577/4128",21
"Organismal Systems","Endocrine system","hsa03320","PPAR signaling pathway","22/789","77/9184",0.285714285714286,3.32572877059569,6.28256807643309,2.8195080366626e-07,2.58035402418443e-05,2.58035402418443e-05,"6258/729359/10873/440503/5468/10062/7350/364/10580/100509620/948/9370/4023/51703/5105/5360/8309/5346/33/6319/2167/2180",22
"Organismal Systems","Endocrine system","hsa04923","Regulation of lipolysis in adipocytes","19/789","60/9184",0.316666666666667,3.68601605407689,6.39899888500394,3.11825259720173e-07,2.58035402418443e-05,2.58035402418443e-05,"8660/11343/111/4881/57104/364/100509620/5733/50486/63924/196883/11145/3991/153/5346/2167/5140/154/4886",19
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","59/789","371/9184",0.159029649595687,1.85111318363345,5.13018269043706,2.10101119002591e-06,0.000139086940779715,0.000139086940779715,"6751/3973/552/5745/2901/2894/117/1812/554/6863/9934/4828/7434/187/5732/9340/2908/7067/5733/2690/1511/7433/5734/80763/3952/53829/146/1908/6869/116443/10316/1395/4887/153/7432/2890/185/2893/4889/8698/2917/1910/1813/148/257313/2555/1901/1268/2904/152/154/7068/151/3953/2925/5023/150/10800/4886",59
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00980","Metabolism of xenobiotics by cytochrome P450","20/789","76/9184",0.263157894736842,3.06317123607498,5.53670013670468,4.01222337368317e-06,0.000221340989448188,0.000221340989448188,"127/1548/1576/2948/1571/124/125/1645/4257/2946/27306/126/218/2949/2052/2944/3290/2947/4258/1577",20
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","41/789","233/9184",0.175965665236052,2.04824926429391,4.96852170920397,6.59740362645124e-06,0.000311962942907909,0.000311962942907909,"7060/3680/72/11155/6445/270/2273/825/4633/58529/7125/477/4619/25802/131873/1634/482/2192/161176/171024/27295/1288/287/3679/1465/6640/9124/8736/1674/7134/70/3908/2199/57731/83660/4629/23345/7140/10398/7111/6711",41
"Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","39/789","226/9184",0.172566371681416,2.00868131498368,4.70677144471751,1.76692065858425e-05,0.000731063422489232,0.000731063422489232,"64399/2867/6751/3973/111/5348/5602/4881/117/1812/5350/7434/5732/338442/477/5733/196883/482/1908/2353/116443/6237/3991/1395/153/7432/2890/3725/2893/8843/2735/1813/2904/5140/10398/154/27198/4886/10411",39
"Environmental Information Processing","Signaling molecules and interaction","hsa04081","Hormone signaling","38/789","219/9184",0.17351598173516,2.01973482415172,4.68225006980917,1.9890141682813e-05,0.000731515210779011,0.000731515210779011,"8660/2791/6751/3973/2852/552/111/5745/4881/3479/1812/554/10266/7434/6776/7067/196883/2690/7433/3952/146/9370/3481/1395/10268/2099/153/7432/185/1813/148/152/154/7068/151/3953/150/10411",38
"Metabolism","Lipid metabolism","hsa00140","Steroid hormone biosynthesis","17/789","65/9184",0.261538461538462,3.04432095154529,5.07052109182203,2.30229830233796e-05,0.000762060738073863,0.000762060738073863,"1583/1576/1586/1571/1645/1589/51170/10170/412/3290/7923/3293/1577/1646/1109/8644/5959",17
