"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","48/715","158/9184",0.30379746835443,3.90220412498893,10.6914862204936,3.52928880055235e-17,1.15054814898007e-14,1.15054814898007e-14,"9133/27085/10926/5885/1875/983/1871/5347/10403/4175/890/157570/898/1111/891/7042/27127/1870/9232/151648/9212/990/26271/995/1029/8900/113130/7272/991/23594/9134/9088/90381/701/9700/4173/4085/9319/699/8317/5591/81620/8318/1869/993/57082/4998/4171",48
"Human Diseases","Immune disease","hsa05322","Systemic lupus erythematosus","44/715","138/9184",0.318840579710145,4.09542920847269,10.6453850413946,1.00669007241165e-16,1.640904818031e-14,1.640904818031e-14,"126961/8343/8329/2214/8355/8367/8357/54145/8365/440689/941/8334/8338/8336/8370/8360/8353/128312/8345/8351/92815/333932/723790/8330/8358/85236/8344/8294/102724334/8348/8969/2209/3013/3015/8337/55506/3012/8347/8349/8339/554313/8331/8970/3017",44
"Human Diseases","Substance dependence","hsa05034","Alcoholism","50/715","190/9184",0.263157894736842,3.3801987486198,9.6325845121686,5.09721404724685e-15,5.53897259800824e-13,5.53897259800824e-13,"126961/2906/8343/8329/8355/8367/8357/54145/8365/440689/7054/136/8334/8338/8336/51764/8370/8360/8353/128312/8345/8351/3845/92815/333932/723790/8330/8358/85236/8344/8294/102724334/8348/8969/814/3013/3015/8337/55506/5500/3012/8347/8349/8339/554313/59345/8331/1644/8970/3017",50
"Organismal Systems","Immune system","hsa04613","Neutrophil extracellular trap formation","49/715","194/9184",0.252577319587629,3.24429385047942,9.17973163909112,5.46927055302209e-14,4.457455500713e-12,4.457455500713e-12,"126961/27180/8343/8329/2214/8355/8367/8357/10105/54145/8365/440689/8334/8338/8336/8370/8360/8353/128312/8345/8351/2359/92815/333932/64581/723790/8330/8358/85236/8344/8294/102724334/8348/8969/2209/820/3013/3015/8337/55506/3012/8347/8349/8339/554313/8331/8970/51284/3017",49
"Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","33/715","204/9184",0.161764705882353,2.07782805429864,4.52330263444143,4.15020874312813e-05,0.00270593610051954,0.00270593610051954,"983/8343/8367/54145/8365/440689/890/898/1111/5315/8370/5366/8360/128312/1029/8345/8900/3845/245972/991/9134/85236/8344/8294/102724334/8348/1233/8347/8349/8339/554313/8970/3017",33
"Genetic Information Processing","Replication and repair","hsa03030","DNA replication","11/715","36/9184",0.305555555555556,3.92478632478633,5.10871367238863,5.81329022826616e-05,0.00315855435735795,0.00315855435735795,"5558/4175/2237/5427/3978/5984/1763/4173/10535/4171/5983",11
"Metabolism","Lipid metabolism","hsa00100","Steroid biosynthesis","8/715","20/9184",0.4,5.1379020979021,5.38247368604996,7.02735853903936e-05,0.0032727412624669,0.0032727412624669,"6713/1591/1594/1717/6307/1056/6646/51478",8
"Organismal Systems","Development and regeneration","hsa04382","Cornified envelope formation","33/715","214/9184",0.154205607476636,1.98073328540618,4.21784704931156,0.000108829774010422,0.00443481329092469,0.00443481329092469,"3713/3859/6273/23562/26154/6707/3892/3868/338324/84283/1832/3853/6279/5652/6699/9074/6768/5523/59344/9076/23581/5522/11187/285848/6280/7053/10686/9119/9080/2125/1041/6278/3887",33
"Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","25/715","157/9184",0.159235668789809,2.04534319184001,3.83854155650613,0.000442201841214188,0.0160175333595361,0.0160175333595361,"286826/9133/1875/983/1871/890/898/1111/2305/891/7042/1870/4605/1029/8900/3845/5054/3576/5810/9134/5500/1869/993/3710/59341",25
"Metabolism","Global and overview maps","hsa01230","Biosynthesis of amino acids","15/715","75/9184",0.2,2.56895104895105,3.96400251318157,0.000559747716457469,0.0182477755565135,0.0182477755565135,"5230/5315/6472/5634/102724560/3418/4143/5723/5831/29968/10993/586/5832/875/2597",15
"Cellular Processes","Cell growth and death","hsa04114","Oocyte meiosis","22/715","135/9184",0.162962962962963,2.09321937321937,3.71794667095664,0.000693856963153036,0.0205633972716263,0.0205633972716263,"9133/286151/983/5347/898/891/27127/9232/151648/6790/26271/995/991/9134/9088/387778/9700/4085/699/5500/3710/815",22
"Cellular Processes","Cell motility","hsa04814","Motor proteins","28/715","195/9184",0.143589743589744,1.84437511206742,3.46279104792321,0.00112502097185206,0.0305630697353142,0.0305630697353142,"1062/147700/7138/140469/9928/81930/9493/56992/127602/55083/196385/146909/3797/92558/80086/9585/3832/6991/3833/146754/547/10381/7277/4651/55605/11004/10112/24137",28
"Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","14/715","75/9184",0.186666666666667,2.39768764568765,3.53130031931386,0.00171118707953637,0.0429113067637581,0.0429113067637581,"9133/983/898/1111/51512/891/5366/1029/64065/5054/9134/6241/55240/92344",14
