"Sample","Group","Proliferation_Score","Metabolic_Score"
"GSM7416122","Normal",-0.886914251639302,0.301614490919977
"GSM7416123","TNBC",1.20937018201093,-1.33320266227494
"GSM7416165","Normal",-0.769600057503642,0.805170900229495
"GSM7416166","TNBC",0.340599432570696,-1.35068536162023
"GSM7416154","Normal",-0.518681357767688,0.324267954403783
"GSM7416156","TNBC",1.71542768076554,-1.20948532892968
"GSM7416139","Normal",-1.14715423991027,1.45377843245006
"GSM7416140","TNBC",0.332964530782437,-0.110817393717529
"GSM7416137","Normal",-0.766017396634993,1.32234730829301
"GSM7416138","TNBC",1.88295073372333,-0.36305565529296
"GSM7416172","Normal",-1.07576816530122,1.27599549088026
"GSM7416173","TNBC",-0.243246845858762,-0.188640294682773
"GSM7416174","Normal",-0.451961915885011,-0.105019324288728
"GSM7416175","TNBC",0.96819588824082,-1.45989399672601
"GSM7416111","Normal",-0.678017143127206,0.861139645263113
"GSM7416112","TNBC",0.0878529255343465,-0.223514204906855
