"stringId_A","stringId_B","preferredName_A","preferredName_B","ncbiTaxonId","score","nscore","fscore","pscore","ascore","escore","dscore","tscore"
"9606.ENSP00000166345","9606.ENSP00000302530","TRIP13","BUB1",9606,0.725,0,0,0,0.576,0,0,0.378
"9606.ENSP00000166345","9606.ENSP00000300093","TRIP13","PLK1",9606,0.734,0,0,0,0.439,0.091,0,0.52
"9606.ENSP00000166345","9606.ENSP00000313950","TRIP13","AURKB",9606,0.788,0,0,0,0.562,0.308,0,0.357
"9606.ENSP00000166345","9606.ENSP00000361540","TRIP13","CDC20",9606,0.996,0,0,0,0.81,0.944,0,0.734
"9606.ENSP00000244289","9606.ENSP00000312652","LIPE","LEP",9606,0.76,0,0,0,0.149,0,0,0.729
"9606.ENSP00000244289","9606.ENSP00000373328","LIPE","CIDEC",9606,0.812,0,0,0,0.267,0,0,0.754
"9606.ENSP00000244289","9606.ENSP00000287820","LIPE","PPARG",9606,0.857,0,0,0,0.125,0.05,0,0.842
"9606.ENSP00000244289","9606.ENSP00000337701","LIPE","PNPLA2",9606,0.971,0,0,0,0.125,0.064,0,0.968
"9606.ENSP00000287820","9606.ENSP00000337701","PPARG","PNPLA2",9606,0.769,0,0,0,0.047,0,0,0.768
"9606.ENSP00000287820","9606.ENSP00000373328","PPARG","CIDEC",9606,0.85,0,0,0,0.21,0,0,0.818
"9606.ENSP00000287820","9606.ENSP00000312652","PPARG","LEP",9606,0.948,0,0,0,0.112,0,0.5,0.894
"9606.ENSP00000300093","9606.ENSP00000313950","PLK1","AURKB",9606,0.939,0,0,0,0.789,0.212,0.5,0.351
"9606.ENSP00000300093","9606.ENSP00000302530","PLK1","BUB1",9606,0.996,0,0,0,0.587,0.39,0.8,0.936
"9606.ENSP00000300093","9606.ENSP00000361540","PLK1","CDC20",9606,0.999,0,0,0,0.951,0.994,0.8,0.91
"9606.ENSP00000302530","9606.ENSP00000313950","BUB1","AURKB",9606,0.997,0,0,0,0.827,0.089,0,0.984
"9606.ENSP00000302530","9606.ENSP00000361540","BUB1","CDC20",9606,0.999,0,0,0,0.907,0.996,0.8,0.993
"9606.ENSP00000312652","9606.ENSP00000373328","LEP","CIDEC",9606,0.773,0,0,0,0.36,0,0,0.66
"9606.ENSP00000313950","9606.ENSP00000361540","AURKB","CDC20",9606,0.998,0,0,0,0.889,0.297,0.5,0.965
