"GeneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbol","Description","GeneType","EnsemblGeneID"
"57104",12411.7576161751,-2.95347954502544,0.194094331544936,-15.2167223097994,2.739146838551e-52,7.00865501580044e-48,"PNPLA2","patatin like phospholipase domain containing 2","protein-coding","ENSG00000177666"
"1675",12737.5086304698,-4.8254682414512,0.36556577659423,-13.1999999737595,8.77350848231513e-40,3.74146269228329e-36,"CFD","complement factor D","protein-coding","ENSG00000197766"
"5468",1427.49319594883,-2.97234610636637,0.236796873487217,-12.5523030038099,3.86114356716862e-36,1.09772311614604e-32,"PPARG","peroxisome proliferator activated receptor gamma","protein-coding","ENSG00000132170"
"2159",410.236329498601,-3.55347388707409,0.306883864832399,-11.5792138143685,5.252554574195e-31,7.90571258176044e-28,"F10","coagulation factor X","protein-coding","ENSG00000126218"
"5348",1043.3491460983,-3.98672035875505,0.352774900334478,-11.3010317768501,1.29685270116326e-29,1.65912850323322e-26,"FXYD1","FXYD domain containing ion transport regulator 1","protein-coding","ENSG00000266964"
"3991",7378.60095213995,-4.73186681031892,0.420254814631431,-11.2595183816486,2.0789175148247e-29,2.4178755659918e-26,"LIPE","lipase E, hormone sensitive type","protein-coding","ENSG00000079435"
"4881",2373.2153321783,-3.27651923374322,0.291723646081901,-11.2315860498444,2.85310499172976e-29,3.1740172792778e-26,"NPR1","natriuretic peptide receptor 1","protein-coding","ENSG00000169418"
"10411",2022.29557419355,-2.86940674687507,0.260514115562336,-11.014400278009,3.25698344371311e-28,3.08653464349213e-25,"RAPGEF3","Rap guanine nucleotide exchange factor 3","protein-coding","ENSG00000079337"
"8639",7726.5872250816,-3.23127540168956,0.295301448126229,-10.9422944661901,7.23454442484203e-28,6.38311338615286e-25,"AOC3","amine oxidase copper containing 3","protein-coding","ENSG00000131471"
"729359",47963.0521766046,-5.45484956576127,0.499339396076908,-10.9241321806724,8.8381186941795e-28,7.29486912993455e-25,"PLIN4","perilipin 4","protein-coding","ENSG00000167676"
"3952",5233.08320247614,-5.92493879051531,0.543239561954083,-10.9066776528623,1.07099216390655e-27,8.56358640558654e-25,"LEP","leptin","protein-coding","ENSG00000174697"
"161176",1263.26870189735,-2.42631658117722,0.233516013283592,-10.3903648707406,2.7430173905792e-25,1.67108538030357e-22,"SYNE3","spectrin repeat containing nuclear envelope family member 3","protein-coding","ENSG00000176438"
"4128",1562.89265673915,-4.00552497509042,0.393497830637857,-10.1792809596879,2.45367692500635e-24,1.36483111913343e-21,"MAOA","monoamine oxidase A","protein-coding","ENSG00000189221"
"63924",5408.59396283789,-6.64590028407834,0.683502712603662,-9.7232975985745,2.39884323279599e-22,1.04032545419578e-19,"CIDEC","cell death inducing DFFA like effector c","protein-coding","ENSG00000187288"
"217",8613.24445177254,-2.85610846704077,0.298372384069185,-9.57229495601883,1.04558499422928e-21,4.11590511497608e-19,"ALDH2","aldehyde dehydrogenase 2 family member","protein-coding","ENSG00000111275"
