"GeneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbol","Description","GeneType","EnsemblGeneID"
"991",629.136059494695,3.93282199729437,0.421740195586332,9.3252244828755,1.10748903047061e-20,3.4346047042356e-18,"CDC20","cell division cycle 20","protein-coding","ENSG00000117399"
"699",190.791349816668,3.95818975771531,0.455416318826779,8.69136566715968,3.58108395526579e-18,6.83799963905864e-16,"BUB1","BUB1 mitotic checkpoint serine/threonine kinase","protein-coding","ENSG00000169679"
"6713",633.733776960569,2.43689077644802,0.293584412366972,8.30047738843157,1.03693873841222e-16,1.50750860794053e-14,"SQLE","squalene epoxidase","protein-coding","ENSG00000104549"
"9319",266.604830239801,2.84130479814475,0.348762921589953,8.14680868365164,3.73654133745375e-16,5.00559597913242e-14,"TRIP13","thyroid hormone receptor interactor 13","protein-coding","ENSG00000071539"
"9088",426.84109165577,2.9234539493319,0.359689952671032,8.12770534073175,4.37493113351678e-16,5.68222921478976e-14,"PKMYT1","protein kinase, membrane associated tyrosine/threonine 1","protein-coding","ENSG00000127564"
"23594",143.403911303286,2.95358452910223,0.363999726192267,8.11424931551219,4.88796952853843e-16,6.22231225506034e-14,"ORC6","origin recognition complex subunit 6","protein-coding","ENSG00000091651"
"8349",1945.41414443107,2.06610613136129,0.255424107573172,8.08892375505082,6.01942353459559e-16,7.54995048920086e-14,"H2BC21","H2B clustered histone 21","protein-coding","ENSG00000184678"
"701",183.438642353502,3.39086033608316,0.438869821257744,7.72634656528761,1.10677056717025e-14,1.08087551535058e-12,"BUB1B","BUB1 mitotic checkpoint serine/threonine kinase B","protein-coding","ENSG00000156970"
"2906",170.689038953823,2.43823856987035,0.318649732998862,7.65178287432948,1.98211716119443e-14,1.90663277456699e-12,"GRIN2D","glutamate ionotropic receptor NMDA type subunit 2D","protein-coding","ENSG00000105464"
"8365",107.035496469878,3.5213552210296,0.464498432793731,7.58098407318701,3.42943701887257e-14,3.16783411559179e-12,"H4C8","H4 clustered histone 8","protein-coding","ENSG00000158406"
"7272",140.009071707624,3.79475720341801,0.502604321445181,7.5501881728884,4.34629817537434e-14,3.874868690359e-12,"TTK","TTK protein kinase","protein-coding","ENSG00000112742"
"4318",2498.21838187755,3.4485741591104,0.457542665429322,7.53716411533891,4.80301720922141e-14,4.25241527101551e-12,"MMP9","matrix metallopeptidase 9","protein-coding","ENSG00000100985"
"8339",164.033376750186,3.844542105259,0.514719156721911,7.46920345794727,8.06817099146506e-14,6.85848143384108e-12,"H2BC8","H2B clustered histone 8","protein-coding","ENSG00000273802"
"3012",86.7983478491899,3.17853522156772,0.431562230931378,7.36518396132106,1.76902746334474e-13,1.41009675092217e-11,"H2AC8","H2A clustered histone 8","protein-coding","ENSG00000277075"
"990",183.496851967565,2.47168175360927,0.341192229269117,7.24424984386065,4.34839189355584e-13,3.24379893237356e-11,"CDC6","cell division cycle 6","protein-coding","ENSG00000094804"
"891",565.406584480521,2.3799244533235,0.334039005280882,7.12469027777849,1.04314990169694e-12,7.4764920265321e-11,"CCNB1","cyclin B1","protein-coding","ENSG00000134057"
"5347",484.143764417011,2.67149236238775,0.377859210943824,7.07007341627282,1.54851749651511e-12,1.07376469331524e-10,"PLK1","polo like kinase 1","protein-coding","ENSG00000166851"
"440689",85.4310335608961,2.26388817695026,0.323695970953196,6.99387196659793,2.67401605367585e-12,1.76925217145594e-10,"H2BC18","H2B clustered histone 18","protein-coding","ENSG00000203814"
"9133",253.141375252599,3.63391184831282,0.520415309505854,6.98271511605472,2.89529149108118e-12,1.8998582080847e-10,"CCNB2","cyclin B2","protein-coding","ENSG00000157456"
"9212",211.64545564205,3.32198904540508,0.488995176163159,6.7935006465108,1.09444747382053e-11,6.37895843112661e-10,"AURKB","aurora kinase B","protein-coding","ENSG00000178999"
"1870",138.365942152413,3.02333929326328,0.446459201666071,6.771815390927,1.27176356475364e-11,7.24735285776202e-10,"E2F2","E2F transcription factor 2","protein-coding","ENSG00000007968"
"9232",252.597687996643,2.76358432587152,0.412589269972809,6.69814880559944,2.1107627487302e-11,1.16146422476903e-09,"PTTG1","PTTG1 regulator of sister chromatid separation, securin","protein-coding","ENSG00000164611"
"983",438.125516420689,2.89648263056678,0.440823853399016,6.570612293852,5.01087773379491e-11,2.51892590519863e-09,"CDK1","cyclin dependent kinase 1","protein-coding","ENSG00000170312"
