"Gene","AUC","CI_Lower","CI_Upper","Direction"
"CDC20",0.936507936507937,0.862722813614536,1,"Higher in TNBC"
"BUB1",0.941798941798942,0.856820781741774,1,"Higher in TNBC"
"CIDEC",0.941798941798942,0.873430477599749,1,"Lower in TNBC"
"PPARG",0.87037037037037,0.749828079300383,0.990912661440358,"Lower in TNBC"
"TRIP13",0.87037037037037,0.684726472113544,1,"Higher in TNBC"
"LEP",0.933862433862434,0.861710618293643,1,"Lower in TNBC"
"PNPLA2",0.915343915343915,0.830786381994079,0.999901448693752,"Lower in TNBC"
"PLK1",0.895502645502645,0.751364402143675,1,"Higher in TNBC"
"AURKB",0.895502645502645,0.783447515861505,1,"Higher in TNBC"
"LIPE",0.933862433862434,0.859201574423613,1,"Lower in TNBC"
