"Analysis","Feature","Cohort","AUC","CI_Lower","CI_Upper","Direction"
"Individual gene","CDC20","Discovery",0.936507936507937,0.862722813614536,1,"Higher in TNBC"
"Individual gene","BUB1","Discovery",0.941798941798942,0.856820781741774,1,"Higher in TNBC"
"Individual gene","CIDEC","Discovery",0.941798941798942,0.873430477599749,1,"Lower in TNBC"
"Individual gene","PPARG","Discovery",0.87037037037037,0.749828079300383,0.990912661440358,"Lower in TNBC"
"Individual gene","TRIP13","Discovery",0.87037037037037,0.684726472113544,1,"Higher in TNBC"
"Individual gene","LEP","Discovery",0.933862433862434,0.861710618293643,1,"Lower in TNBC"
"Individual gene","PNPLA2","Discovery",0.915343915343915,0.830786381994079,0.999901448693752,"Lower in TNBC"
"Individual gene","PLK1","Discovery",0.895502645502645,0.751364402143675,1,"Higher in TNBC"
"Individual gene","AURKB","Discovery",0.895502645502645,0.783447515861505,1,"Higher in TNBC"
"Individual gene","LIPE","Discovery",0.933862433862434,0.859201574423613,1,"Lower in TNBC"
"Molecular signature","Proliferation_Score","Discovery",1,1,1,"Higher in TNBC"
"Molecular signature","Metabolic_Score","Discovery",1,1,1,"Lower in TNBC"
"Molecular signature","Proliferation_Score","Independent GSE52194",1,1,1,"Higher in TNBC"
"Molecular signature","Metabolic_Score","Independent GSE52194",1,1,1,"Lower in TNBC"
