"Gene","N","High_N","Low_N","Deaths","Median_Expression","LogRank_P","Hazard_Ratio","CI_Lower","CI_Upper","Cox_P","LogRank_FDR","Cox_FDR"
"CDC20",1073,537,536,150,5.60391411354692,0.517193696248264,1.11137853753408,0.806766867950395,1.53100270072982,0.518185011179674,0.517193696248264,0.518185011179674
"BUB1",1073,537,536,150,3.70941195818655,0.171645146259393,1.25176216465078,0.906559329663953,1.72841254353648,0.172549703857828,0.302936359262893,0.305238828277319
"TRIP13",1073,537,536,150,4.16516427649497,0.25310121001277,1.20598253963971,0.874310022081766,1.66347616884556,0.253704154656468,0.3615731571611,0.362434506652098
"PLK1",1073,537,536,150,3.8665321758669,0.0205374819372336,1.46250685082267,1.05798018484504,2.02170732433568,0.0213842071297738,0.205374819372336,0.213842071297738
"AURKB",1073,537,536,150,3.98355913713697,0.0712667327021088,1.34393491463682,0.97336669311347,1.85558132157016,0.0725013649220151,0.255976740944766,0.260333047772085
"PNPLA2",1073,537,536,150,6.18097728375608,0.0767930222834297,0.746266104703054,0.538880247657343,1.03346355976067,0.0780999143316254,0.255976740944766,0.260333047772085
"PPARG",1073,537,536,150,2.56384147888033,0.13798862698501,0.784835985213729,0.568993728824577,1.0825559096387,0.139800710139185,0.302936359262893,0.305238828277319
"LIPE",1073,537,536,150,2.87263179113525,0.414144439564796,0.874300775722774,0.633176875231062,1.20724852143486,0.414533692658104,0.517193696248264,0.51816711582263
"LEP",1073,537,536,150,0.617862660013215,0.181761815557736,0.802322242148855,0.580112750617664,1.10964804611065,0.183143296966392,0.302936359262893,0.305238828277319
"CIDEC",1073,537,536,150,1.68912021051819,0.486603748650383,0.8925440913271,0.646900768582128,1.23146391788802,0.488811650344439,0.517193696248264,0.518185011179674
