"","CDC20","BUB1","TRIP13","PLK1","AURKB","PNPLA2","PPARG","LIPE","LEP","CIDEC"
"CDC20",1,0.888705801828075,0.836921910890111,0.879533787571566,0.915352248645344,-0.32608112876008,-0.0511186492131676,-0.262917379900409,-0.562247093735896,-0.422770963497187
"BUB1",0.888705801828075,1,0.980304381783668,0.967687793167818,0.90554195874452,-0.419284244112147,-0.0555570779670123,-0.420396282776662,-0.584386568561445,-0.463744209474153
"TRIP13",0.836921910890111,0.980304381783668,1,0.970438499561003,0.912008627135881,-0.435205968196492,-0.0596002256851359,-0.394184705929994,-0.529050884637521,-0.421759107587143
"PLK1",0.879533787571566,0.967687793167818,0.970438499561003,1,0.948512339610208,-0.566264832551517,-0.208219112607302,-0.496127594717198,-0.635962429075226,-0.533065066660852
"AURKB",0.915352248645344,0.90554195874452,0.912008627135881,0.948512339610208,1,-0.420438507500421,-0.104941666401074,-0.31592260138786,-0.479943644328961,-0.409493326547119
"PNPLA2",-0.32608112876008,-0.419284244112147,-0.435205968196492,-0.566264832551517,-0.420438507500421,1,0.902839057197042,0.931277570144599,0.872127402889715,0.903542249660328
"PPARG",-0.0511186492131676,-0.0555570779670123,-0.0596002256851359,-0.208219112607302,-0.104941666401074,0.902839057197042,1,0.860765272782799,0.769141138771966,0.872509395725778
"LIPE",-0.262917379900409,-0.420396282776662,-0.394184705929994,-0.496127594717198,-0.31592260138786,0.931277570144599,0.860765272782799,1,0.890165370300702,0.950228810600929
"LEP",-0.562247093735896,-0.584386568561445,-0.529050884637521,-0.635962429075226,-0.479943644328961,0.872127402889715,0.769141138771966,0.890165370300702,1,0.952317883396119
"CIDEC",-0.422770963497187,-0.463744209474153,-0.421759107587143,-0.533065066660852,-0.409493326547119,0.903542249660328,0.872509395725778,0.950228810600929,0.952317883396119,1
